企業名,法人番号,新卒フラグ,掲載媒体,掲載媒体数,採用予定人数,取得日,採用ページ有無,採用ページURL,新卒言及,職種,外部採用媒体,根拠
クロスプラス株式会社,1180001025507,,,0,,2026-06-14,,,,,,
株式会社アオキスーパー,1180001029202,○,,0,,2026-06-14,○,https://aokisuper.co.jp/recruit,○,,,top-anchor
株式会社ＥＶＥＲＹＦＯＯＤ,1180001001037,○,,0,,2026-06-14,○,https://everygroup.co.jp/ef/recruit,○,,,top-anchor
東海ソフト株式会社,1180001031538,,,0,,2026-06-14,,,,,,
メイラ株式会社,1180001031884,,,0,,2026-06-14,,,,,,
ＭＨＩエアロテクノロジーズ株式会社,1180001031934,,,0,,2026-06-14,,,,,,
教育産業株式会社,1180001035456,○,,0,,2026-06-14,○,https://www.ksg.co.jp/recruit/,○,,,top-anchor
名工建設株式会社,1180001027354,,,0,,2026-06-14,○,https://meikokensetsu-recruit.com/,,,meikokensetsu-recruit.com,external-only
興和株式会社,1180001035811,,,0,,2026-06-14,○,https://www.kowa.co.jp/news/2026/press260507.pdf,,,kowa-recruit.jp,top-anchor
株式会社コアズ,1180001035761,○,,0,,2026-06-14,○,https://corps-inc.jp/recruit/,○,営業/事務/施工管理/販売,,top-anchor
大同興業株式会社,1180001037502,,,0,,2026-06-14,,,,,,
株式会社新東通信,1180001036792,○,,0,,2026-06-14,○,https://www.shinto-tsushin.co.jp/recruit-info,○,販売/マーケティング,,top-anchor
オイレス工業株式会社,1010401006049,,,0,,2026-06-14,,,,,,
川北電気工業株式会社,1180001035290,○,,0,,2026-06-14,○,https://www.kawakita.co.jp/recruit/,○,,,top-anchor
株式会社ＣＢＣクリエイション,1180001036669,,,0,,2026-06-14,,,,,,no-recruit-link
株式会社アート,1010701014775,○,,0,,2026-06-14,○,https://www.art-japan.co.jp/recruit/career,○,営業/技術職/販売,,top-anchor
株式会社小野測器,1020001001886,,,0,,2026-06-14,,,,,,
日本飛行機株式会社,1020001006613,,,0,,2026-06-14,,,,,,
海洋電子工業株式会社,1020001006043,,,0,,2026-06-14,,,,,,
株式会社信友建設,1020001007520,,,0,,2026-06-14,,,,,,
ラピスセミコンダクタ株式会社,1010101008452,,,0,,2026-06-14,,,,,,no-recruit-link
株式会社アルファ,1020001005862,○,,0,,2026-06-14,○,https://www.kk-alpha.com/cp/recruit/career.html,○,営業/介護,,top-anchor
株式会社シバックス,1020001008907,,,0,,2026-06-14,,,,,,
ハーベスト株式会社,1020001010441,,,0,,2026-06-14,,,,,,
株式会社明光社,1020001013873,,,0,,2026-06-14,,,,,,
ジオマテック株式会社,1020001015003,,,0,,2026-06-14,,,,,,
横浜植木株式会社,1020001013956,○,,0,,2026-06-14,○,https://www.yokohamaueki.co.jp/recruit/114/,○,営業/総合職/企画/施工管理,,top-anchor
株式会社ＣＩＪ,1020001015606,○,,0,,2026-06-14,○,https://recruit.cij.co.jp/,○,,recruit.cij.co.jp,common-path
株式会社浜銀総合研究所,1020001015795,○,,0,,2026-06-14,○,https://www.yokohama-ri.co.jp/recruit/new_graduate/index.html,○,営業/企画/介護/看護/コンサル,,top-anchor
レーザーテック株式会社,1020001022180,,,0,,2026-06-14,,,,,,
株式会社ＫＳＰ,1020001026487,,,0,,2026-06-14,,,,,,
株式会社宇徳,1020001025489,,,0,,2026-06-14,,,,,,
ソルブ株式会社,1020001027295,,,0,,2026-06-14,,,,,,
株式会社ジャスト,1020001011844,,,0,,2026-06-14,,,,,,no-recruit-link
株式会社日商物産,1020001028194,,,0,,2026-06-14,,,,,,
株式会社ホンマ,1020001028855,,,0,,2026-06-14,,,,,,
横浜高速鉄道株式会社,1020001029440,,,0,,2026-06-14,○,https://www.mm21railway.co.jp/info/corpo/employment.html,,,,top-anchor
ＡＬＳＯＫ神奈川株式会社,1020001030159,,,0,,2026-06-14,,,,,,
横浜冷凍株式会社,1020001030638,○,,0,,2026-06-14,○,https://www.yokorei.co.jp/recruit/,○,エンジニア/総合職/販売,,top-anchor
株式会社テイン,1020001033780,○,リクナビ,1,,2026-06-14,○,https://www.tein.co.jp/company_profile/,,企画/販売,,top-anchor
株式会社アルテサロンホールディングス（閉鎖）,1020001033236,,,0,,2026-06-14,,,,,,
株式会社ティー・アール・シー,1020001033203,,,0,,2026-06-14,,,,,,
株式会社旭広告社,1020001029894,○,,0,,2026-06-14,○,https://asahi-ad.co.jp/recruiting/,○,,,top-anchor
トキコシステムソリューションズ株式会社,1020001033723,○,,0,,2026-06-14,○,http://www.tokicosys.com/topics/other/000493/,○,販売,recruit.tokicosys.com,top-anchor
ＳＧＳジャパン株式会社,1020001034622,,,0,,2026-06-14,,,,,,top-fetch-failed
インバースネット株式会社,1020001036619,○,,0,,2026-06-14,○,https://www.inversenet.co.jp/recruit/,○,営業/販売,,top-anchor
株式会社クロステック,1020001037212,○,,0,,2026-06-14,○,https://www.xtec.co.jp/recruit/requirements/student,○,,,top-anchor
株式会社アナザーウェア,1020001038458,,,0,,2026-06-14,,,,,,top-fetch-failed
株式会社横浜グランドインターコンチネンタルホテル,1020001016001,,,0,,2026-06-14,,,,,,top-fetch-failed
株式会社エスシーサポート,1240001047429,,,0,,2026-06-14,,,,,,
イリソ電子工業株式会社,1020001053696,○,,0,,2026-06-14,○,https://www.irisoele.com/jp/recruit/newgrads/,○,営業/販売,,top-anchor
シンカ株式会社,1290001001769,,,0,,2026-06-14,,,,,,
グリーンシッピング株式会社,1250001005360,,,0,,2026-06-14,,,,,,top-fetch-failed
株式会社ニシコー,1290001009498,,,0,,2026-06-14,,,,,,
林兼エスト株式会社,1290001009738,,,0,,2026-06-14,○,https://www.h-est.co.jp/recruit/,,,,top-anchor
株式会社インフォグラム,1290001011611,,,0,,2026-06-14,,,,,,
株式会社医療事務サービス,1290001011660,,,0,,2026-06-14,,,,,,
株式会社キューオキ,1290001012337,,,0,,2026-06-14,,,,,,
九州総合サービス株式会社,1290001012411,,,0,,2026-06-14,,,,,,
建設サービス株式会社,1290001012989,,,0,,2026-06-14,,,,,,
株式会社福岡銀行,1290001004367,,,0,,2026-06-14,,,,,,top-fetch-failed
株式会社カンサイ,1290001012221,,,0,,2026-06-14,○,https://kansaihd.co.jp/recruit-top/,,営業/販売/コンサル,recruit.kansai-dengyo.co.jp,top-anchor
博多湾環境整備株式会社,1290001015728,,,0,,2026-06-14,○,https://www.kankyou-seibi.co.jp/recruit/,,,,top-anchor
空研工業株式会社,1290001007221,○,,0,,2026-06-14,○,https://www.kuken.com/recruit/,○,営業/事務/施工管理,,top-anchor
株式会社リサーチアンドソリューション,1290001017278,○,,0,,2026-06-14,○,http://www.rands-co.com/recruit/,○,営業,,top-anchor
福博綜合印刷株式会社,1290001016263,,,0,,2026-06-14,○,https://www.fsp.co.jp/career.php,,営業/デザイナー,,top-anchor
福岡センコー運輸株式会社,1290001019349,,,0,,2026-06-14,,,,,,
ＪＲ九州商事株式会社,1290001019794,,,0,,2026-06-14,,,,,,
メディアファイブ株式会社,1290001018160,○,,0,,2026-06-14,○,https://www.media5.co.jp/category/recruit/,○,エンジニア,,top-anchor
株式会社ジェイウェイブ,1290001020686,,,0,,2026-06-14,,,,,,
株式会社オービット,1290001020645,,,0,,2026-06-14,,,,,,
ホシザキ北九株式会社,1290001016577,,,0,,2026-06-14,○,https://www.hoshizaki-kitakyu.co.jp/careers,,営業/企画,recruitment.hoshizaki-kitakyu.co.jp,common-path
イワタニ九州株式会社,1290001024695,,,0,,2026-06-14,,,,,,
株式会社ＩＮＧ・ワールド,1290001026378,,,0,,2026-06-14,,,,,,
株式会社アカシヤビルサービス,1430001000384,,,0,,2026-06-14,,,,,,
池田煖房工業株式会社,1430001001267,○,,0,,2026-06-14,○,http://www.ikedan.co.jp/recruit/index.html,○,,,top-anchor
岡本興業株式会社,1430001003222,,,0,,2026-06-14,,,,,,
株式会社ビルマネージメント,1290001025818,,,0,,2026-06-14,○,http://www.buil-manage.com/recruit-hotel,,介護,,top-anchor
株式会社開発工営社,1430001003528,,,0,,2026-06-14,,,,,,
株式会社セイビ九州,1290001014110,,,0,,2026-06-14,○,https://seibiq-saiyo.jp/-/top/index.html,,,seibiq-saiyo.jp,external-only
株式会社清風堂,1430001008691,,,0,,2026-06-14,,,,,,
株式会社じょうてつ,1430001007925,○,,0,,2026-06-14,○,https://www.jotetsu.co.jp/recruit/entry/career.html,○,営業/総合職/事務/企画/介護,,top-anchor
株式会社アルテクス,1290001023417,○,,0,,2026-06-14,○,https://altecs.com/recruit-info,○,エンジニア/営業/介護,,top-anchor
日本乾溜工業株式会社,1290001028382,,,0,,2026-06-14,○,https://www.kanryu.co.jp/recruit/,,,instagram.com,top-anchor
株式会社なの花北海道,1430001005219,,,0,,2026-06-14,,,,,,top-fetch-failed
札商美装興業株式会社,1430001006811,,,0,,2026-06-14,○,https://jp.indeed.com/q-%E6%9C%AD%E5%95%86%E7%BE%8E%E8%A3%85%E8%88%88%E6%A5%AD%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE-%E6%B1%82%E4%BA%BA.html?vjk=c811201b2cfca240,,,jp.indeed.com,external-only
株式会社シムス,1430001009847,,,0,,2026-06-14,,,,,,
株式会社通電技術,1430001010557,○,,0,,2026-06-14,○,https://tsuuden.co.jp/publics/index/123/,○,企画/コンサル,,top-anchor
株式会社ミライト・モバイル・イースト,1430001012727,,,0,,2026-06-14,,,,,,
北菱産業埠頭株式会社,1430001015614,,,0,,2026-06-14,,,,,,
株式会社双葉工業社,1430001015201,,,0,,2026-06-14,○,http://www.k-futaba.co.jp/recu.html,,,,top-anchor
株式会社クリーンコーポレーション,1430001005061,,,0,,2026-06-14,○,http://www.clean-corp.co.jp/recruit/?v=1,,,,top-anchor
北盛電設株式会社,1430001014789,,,0,,2026-06-14,,,,,,top-fetch-failed
株式会社アークス,1430001018377,,,0,,2026-06-14,,,,,,
株式会社アインホールディングス,1430001020787,,,0,,2026-06-14,,,,,,
マックスバリュ北海道株式会社（閉鎖）,1430001020267,,,0,,2026-06-14,,,,,,
日本ニューホランド株式会社,1430001021026,,,0,,2026-06-14,,,,,,
日本高圧コンクリート株式会社,1430001020829,○,,0,,2026-06-14,○,https://www.nihonkoatsu.co.jp/recruit/career_recruitment/,○,営業/事務/施工管理/介護/販売,job.mynavi.jp,top-anchor
株式会社ユニテック,1430001021645,,,0,,2026-06-14,,,,,,
株式会社モロオ,1430001017032,,,0,,2026-06-14,○,https://recruit.moroo.co.jp/news/career-msls/,,,recruit.moroo.co.jp,external-only
ＡＬＳＯＫ北海道株式会社,1430001021959,,,0,,2026-06-14,,,,,,
株式会社北海道日立,1430001022461,,,0,,2026-06-14,,,,,,
株式会社北海道ダイケン,1430001022180,,,0,,2026-06-14,,,,,,
株式会社エコミック,1430001023947,,,0,,2026-06-14,,,,,,
中道リース株式会社,1430001024094,,,0,,2026-06-14,,,,,,
株式会社プライムツーワン,1430001026974,,,0,,2026-06-14,,,,,,
セントラルリーシングシステム株式会社,1430001024268,,,0,,2026-06-14,,,,,,
ビットスター株式会社,1430001037773,,,0,,2026-06-14,,,,,,
北燃商事株式会社,1430001046650,,,0,,2026-06-14,,,,,,
馬淵建設株式会社,1430001046675,,,0,,2026-06-14,,,,,,
北海道ガソン株式会社,1430001049752,,,0,,2026-06-14,,,,,,
株式会社第一岸本臨床検査センター,1430001055197,,,0,,2026-06-14,,,,,,
株式会社調和技研,1430001041759,○,,0,,2026-06-14,○,https://www.chowagiken.co.jp/recruit/,○,エンジニア/コンサル,,top-anchor
株式会社南組,1430001055619,,,0,,2026-06-14,,,,,,
日鋼室蘭サービス株式会社,1430001057045,,,0,,2026-06-14,,,,,,
株式会社三井Ｅ＆Ｓ　ＤＵ,1010001230569,,,0,,2026-06-14,,,,,,
株式会社松本鉄工所,1430001053845,,,0,,2026-06-14,○,https://www.matsumoto-tekkosho.co.jp/recruit/,,営業,tenshoku.mynavi.jp/job.mynavi.jp,top-anchor
株式会社シマブンコーポレーション,1140001003508,,,0,,2026-06-14,,,,,,
ＬＲＭ株式会社,1120001120263,○,,0,,2026-06-14,○,https://www.lrm.jp/recruit/,○,エンジニア/営業/コンサル,,top-anchor
株式会社トーホー,1140001002071,○,,0,,2026-06-14,○,https://www.to-ho.co.jp/recruit.html,○,,,top-anchor
親和パッケージ株式会社,1140001001783,○,,0,,2026-06-14,○,https://shinwa-co.co.jp/recruit/,○,,,top-anchor
コベルコビジネスパートナーズ株式会社,1140001003466,○,,0,,2026-06-14,○,https://www.kobelco-kbp.jp/recruit/,○,事務/介護/販売,,top-anchor
第一電子株式会社,1140001004992,,,0,,2026-06-14,○,https://www.ddk.ne.jp/recruit/,,エンジニア/営業,,top-anchor
株式会社イナハラ,1140001006205,○,,0,,2026-06-14,○,https://www.inahara.co.jp/recruit/,○,営業/技術職,,top-anchor
尾道造船株式会社,1140001006741,○,,0,,2026-06-14,○,https://onozo.co.jp/recruitment/,○,,,common-path
川崎重工業株式会社,1140001005719,○,,0,,2026-06-14,○,https://www.khi-saiyo.jp/,○,,khi-saiyo.jp/khi-gr.jp,common-path
共栄株式会社,1140001007137,○,,0,,2026-06-14,○,http://www.kyoyei.com/recruit/recruit.html,○,,job.mynavi.jp,top-anchor
株式会社ナガサワ文具センター,1140001009777,,,0,,2026-06-14,,,,,,
株式会社ケイテック,1140001007384,,,0,,2026-06-14,○,https://www.ktec-akashi.co.jp/recruit/index.html,,,,top-anchor
株式会社ニチリン,1140001010033,,,0,,2026-06-14,,,,,,
株式会社神戸新聞社,1140001012021,,,0,,2026-06-14,,,,,,
株式会社神戸工業試験場,1140001014570,,,0,,2026-06-14,,,,,,
株式会社トヨタレンタリース兵庫,1140001016534,,,0,,2026-06-14,,,,,,
阪神内燃機工業株式会社,1140001010149,○,,0,,2026-06-14,○,https://www.hanshin-dw.co.jp/recruit/,○,営業,,top-anchor
株式会社ＯＫＡＭＵＲＡ,1140001012707,,,0,,2026-06-14,○,https://www.okamura-industry.co.jp/recruit/,,,,top-anchor
フアーストリネンサービス株式会社,1140001017862,,,0,,2026-06-14,,,,,,
株式会社ウインウイン,1140001022532,,,0,,2026-06-14,,,,,,
株式会社大伸,1140001013449,,,0,,2026-06-14,○,http://www.daishin-gr.co.jp/careers/,,,,top-anchor
株式会社神防社,1140001030329,,,0,,2026-06-14,,,,,,
株式会社ＪＭＵアムテック,1140001039675,,,0,,2026-06-14,,,,,,
スプリングエイトサービス株式会社,1140001039709,,,0,,2026-06-14,,,,,,
ホシザキ北海道株式会社,1430001015639,○,,0,,2026-06-14,○,https://www.hoshizaki-hokkaido.co.jp/topics/recruit/688/,○,営業,instagram.com,top-anchor
株式会社イボキン,1140001038603,○,,0,,2026-06-14,○,https://www.ibokin.co.jp/recruit/infomation/career/,○,営業/事務/施工管理,,top-anchor
株式会社ＲＵＴＩＬＥＡ,1010703003272,,,0,,2026-06-14,,,,,,
