企業名,法人番号,熱量,鮮度h,直近イベント,求人件数,卒年,出稿増,採用ページ更新,インテント,初検知,最終更新,取得日
株式会社LOP,,79.1,0,JOB_DOWN,1,,,,○,2026-07-06T04:00:03.149Z,2026-07-09T10:00:02.799Z,2026-07-09
株式会社ELM,,72.3,0,JOB_DOWN,2,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-09T10:00:02.799Z,2026-07-09
株式会社alBee,,66.5,0,JOB_DOWN,2,,,,○,2026-06-21T05:19:13.003Z,2026-07-09T10:00:02.799Z,2026-07-09
株式会社リクルートスタッフィング,,65.1,0,JOB_UP|NEW_QUERY,3,,○,,○,2026-06-18T13:23:20.303Z,2026-07-09T10:00:02.799Z,2026-07-09
マンパワーグループ株式会社,,60.1,0,GONE,3,,,,○,2026-06-18T13:23:40.266Z,2026-07-09T10:00:02.799Z,2026-07-09
本田技研工業株式会社,,58.5,0,JOB_UP|NEW_GRAD_YEAR|NEW_QUERY,13,2027,○,○,○,2026-06-18T23:36:18.438Z,2026-07-09T10:00:02.799Z,2026-07-09
JAGフィールド株式会社,,56.1,0,NEW_QUERY,4,,,,○,2026-07-04T10:00:09.195Z,2026-07-09T10:00:02.799Z,2026-07-09
株式会社GUM,,55.6,0,GONE,1,2027,,,○,2026-06-21T05:19:13.003Z,2026-07-09T10:00:02.799Z,2026-07-09
株式会社キソシン,,55.0,0,JOB_DOWN,2,2027,,,○,2026-06-21T05:19:13.003Z,2026-07-09T10:00:02.799Z,2026-07-09
株式会社大斗,,52.0,0,NEW_QUERY,2,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-09T10:00:02.799Z,2026-07-09
株式会社プロジェクトトリガー,,49.1,0,JOB_DOWN,1,2027,,,○,2026-06-21T05:19:13.003Z,2026-07-09T10:00:02.799Z,2026-07-09
ギブクリエーション株式会社,,48.4,0,JOB_UP|NEW_QUERY,2,2026,○,,○,2026-07-03T22:00:08.268Z,2026-07-09T10:00:02.799Z,2026-07-09
ベンタス株式会社,,46.6,0,JOB_DOWN,1,,,,○,2026-06-18T13:23:40.266Z,2026-07-09T10:00:02.799Z,2026-07-09
株式会社ELシステム,,46.5,0,JOB_DOWN,2,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-09T10:00:02.799Z,2026-07-09
株式会社Le Lien,,42.0,0,JOB_UP|NEW_QUERY,2,,○,,○,2026-07-03T22:00:08.268Z,2026-07-09T10:00:02.799Z,2026-07-09
株式会社ロッテ,,40.4,0,JOB_UP|NEW_GRAD_YEAR|NEW_QUERY,13,2027,○,○,○,2026-06-18T23:36:18.438Z,2026-07-09T10:00:02.799Z,2026-07-09
JHRconsulting株式会社,,39.4,0,JOB_DOWN,2,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-09T10:00:02.799Z,2026-07-09
ピアス株式会社,,37.3,0,JOB_UP|NEW_QUERY,3,,○,,○,2026-07-03T22:00:08.268Z,2026-07-09T10:00:02.799Z,2026-07-09
株式会社enrich technology,,36.1,0,JOB_DOWN,1,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-09T10:00:02.799Z,2026-07-09
株式会社Meta Sales,,35.8,0,GONE,2,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-09T10:00:02.799Z,2026-07-09
Ｓｋｙ株式会社,,32.8,0,JOB_DOWN,12,,,,○,2026-06-18T23:36:18.438Z,2026-07-09T10:00:02.799Z,2026-07-09
株式会社Creer,,30.5,0,GONE,1,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-09T10:00:02.799Z,2026-07-09
株式会社i-plug,,30.2,0,NEW_QUERY,6,,,,○,2026-06-18T13:23:20.303Z,2026-07-09T10:00:02.799Z,2026-07-09
株式会社リクルートR&Dスタッフィング,,29.9,0,JOB_UP|NEW_QUERY,3,,○,,○,2026-07-04T10:00:09.195Z,2026-07-09T10:00:02.799Z,2026-07-09
フェンリル株式会社,,29.2,0,JOB_UP|NEW_QUERY,3,,○,,○,2026-07-03T22:00:08.268Z,2026-07-09T10:00:02.799Z,2026-07-09
株式会社ネオキャリア,,29.0,0,JOB_DOWN,3,,,,○,2026-06-18T13:23:20.303Z,2026-07-09T10:00:02.799Z,2026-07-09
株式会社テクノプロ コンサルティング・パートナー...,,26.3,0,JOB_UP|NEW_QUERY,3,,○,,○,2026-07-03T22:00:08.268Z,2026-07-09T10:00:02.799Z,2026-07-09
株式会社I・PARTNERS,,25.8,0,REAPPEARED,2,,,○,○,2026-07-04T04:00:03.351Z,2026-07-09T10:00:02.799Z,2026-07-09
株式会社オープンループパートナーズ梅田支店,,25.8,0,REAPPEARED,1,,,○,○,2026-07-04T10:00:09.195Z,2026-07-09T10:00:02.799Z,2026-07-09
釣具買取専門店ウェイブ,,25.6,0,JOB_UP|NEW_QUERY,3,,○,,○,2026-07-03T22:00:08.268Z,2026-07-09T10:00:02.799Z,2026-07-09
