企業名,法人番号,熱量,鮮度h,直近イベント,求人件数,卒年,出稿増,採用ページ更新,インテント,初検知,最終更新,取得日
株式会社LOP,,74.6,0,NEW_QUERY,2,2027,,,○,2026-07-06T04:00:03.149Z,2026-07-12T16:00:08.566Z,2026-07-12
ベンタス株式会社,,71.9,0,JOB_DOWN,1,2027,,,○,2026-06-18T13:23:40.266Z,2026-07-12T16:00:08.566Z,2026-07-12
ヒューマンリソシア株式会社,,69.7,0,JOB_UP|NEW_QUERY|NEW_QUERY,4,,○,,○,2026-06-18T13:23:40.266Z,2026-07-12T16:00:08.566Z,2026-07-12
株式会社GUM,,67.0,0,REAPPEARED,1,2027,,○,○,2026-06-21T05:19:13.003Z,2026-07-12T16:00:08.566Z,2026-07-12
株式会社リクルートスタッフィング,,64.5,0,JOB_UP|NEW_QUERY,3,,○,,○,2026-06-18T13:23:20.303Z,2026-07-12T16:00:08.566Z,2026-07-12
株式会社Meta Sales,,63.9,0,JOB_UP|NEW_QUERY,2,2027,○,,○,2026-07-03T22:00:08.268Z,2026-07-12T16:00:08.566Z,2026-07-12
パーソルテンプスタッフ株式会社,,63.0,0,JOB_UP|NEW_QUERY,5,,○,,○,2026-06-18T13:23:40.266Z,2026-07-12T16:00:08.566Z,2026-07-12
ギブクリエーション株式会社,,60.2,0,GONE,2,2026,,,○,2026-07-03T22:00:08.268Z,2026-07-12T16:00:08.566Z,2026-07-12
パーソルエクセルHRパートナーズ株式会社,,58.7,0,JOB_DOWN|NEW_QUERY,2,,,,○,2026-06-21T05:19:13.003Z,2026-07-12T16:00:08.566Z,2026-07-12
株式会社ELM,,58.2,0,NEW_GRAD_YEAR|NEW_QUERY,1,2027,,○,○,2026-07-03T22:00:08.268Z,2026-07-12T16:00:08.566Z,2026-07-12
ピアス株式会社,,55.0,0,JOB_DOWN,2,,,,○,2026-07-03T22:00:08.268Z,2026-07-12T16:00:08.566Z,2026-07-12
株式会社キソシン,,53.4,0,REAPPEARED,1,2027,,○,○,2026-06-21T05:19:13.003Z,2026-07-12T16:00:08.566Z,2026-07-12
株式会社Creer,,53.3,0,JOB_UP|NEW_QUERY,2,2027,○,,○,2026-07-03T22:00:08.268Z,2026-07-12T16:00:08.566Z,2026-07-12
株式会社スタッフサービス,,50.4,0,JOB_UP|NEW_QUERY|NEW_QUERY,3,,○,,○,2026-06-18T13:23:40.266Z,2026-07-12T16:00:08.566Z,2026-07-12
株式会社enrich technology,,50.2,0,JOB_UP|NEW_GRAD_YEAR|NEW_QUERY,2,2027,○,○,○,2026-07-03T22:00:08.268Z,2026-07-12T16:00:08.566Z,2026-07-12
株式会社大斗,,46.9,0,JOB_DOWN|NEW_GRAD_YEAR,1,2027,,○,○,2026-07-03T22:00:08.268Z,2026-07-12T16:00:08.566Z,2026-07-12
JAGフィールド株式会社,,42.9,0,REAPPEARED,1,,,○,○,2026-07-04T10:00:09.195Z,2026-07-12T16:00:08.566Z,2026-07-12
マンパワーグループ株式会社,,42.9,0,JOB_DOWN,1,,,,○,2026-06-18T13:23:40.266Z,2026-07-12T16:00:08.566Z,2026-07-12
株式会社マイナビワークス,,40.9,0,JOB_UP|NEW_QUERY|NEW_QUERY,4,,○,,○,2026-07-05T22:00:07.598Z,2026-07-12T16:00:08.566Z,2026-07-12
株式会社リクルートR&Dスタッフィング,,40.2,0,NEW_QUERY,1,,,,○,2026-07-04T10:00:09.195Z,2026-07-12T16:00:08.566Z,2026-07-12
株式会社alBee,,39.4,0,NEW_QUERY,1,,,,○,2026-06-21T05:19:13.003Z,2026-07-12T16:00:08.566Z,2026-07-12
アデコ株式会社,,38.6,0,JOB_DOWN,3,,,,○,2026-06-21T05:19:13.003Z,2026-07-12T16:00:08.566Z,2026-07-12
株式会社プロジェクトトリガー,,38.3,0,GONE,1,,,,○,2026-06-21T05:19:13.003Z,2026-07-12T16:00:08.566Z,2026-07-12
本田技研工業株式会社,,37.1,0,JOB_DOWN,12,,,,○,2026-06-18T23:36:18.438Z,2026-07-12T16:00:08.566Z,2026-07-12
株式会社I・PARTNERS,,37.0,0,GONE,1,,,,○,2026-07-04T04:00:03.351Z,2026-07-12T16:00:08.566Z,2026-07-12
株式会社Le Lien,,36.8,0,JOB_DOWN,1,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-12T16:00:08.566Z,2026-07-12
株式会社ネオキャリア,,36.2,0,JOB_DOWN,3,,,,○,2026-06-18T13:23:20.303Z,2026-07-12T16:00:08.566Z,2026-07-12
株式会社ELシステム,,34.5,0,NEW_QUERY,1,,,,○,2026-07-03T22:00:08.268Z,2026-07-12T16:00:08.566Z,2026-07-12
株式会社ワクトリ,,33.1,0,REAPPEARED,1,,,○,○,2026-07-10T10:00:02.569Z,2026-07-12T16:00:08.566Z,2026-07-12
Ｓｋｙ株式会社,,32.4,0,JOB_DOWN,12,,,,○,2026-06-18T23:36:18.438Z,2026-07-12T16:00:08.566Z,2026-07-12
