企業名,法人番号,熱量,鮮度h,直近イベント,求人件数,卒年,出稿増,採用ページ更新,インテント,初検知,最終更新,取得日
株式会社LOP,,73.2,0,JOB_DOWN,1,,,,○,2026-07-06T04:00:03.149Z,2026-07-10T04:00:09.031Z,2026-07-10
株式会社リクルートスタッフィング,,70.6,0,JOB_UP|NEW_QUERY,2,,○,,○,2026-06-18T13:23:20.303Z,2026-07-10T04:00:09.031Z,2026-07-10
株式会社ELM,,68.8,0,JOB_DOWN,2,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-10T04:00:09.031Z,2026-07-10
株式会社キソシン,,66.1,0,JOB_UP|NEW_QUERY,2,2027,○,,○,2026-06-21T05:19:13.003Z,2026-07-10T04:00:09.031Z,2026-07-10
株式会社GUM,,66.1,0,JOB_UP|NEW_QUERY|NEW_QUERY,3,2027,○,,○,2026-06-21T05:19:13.003Z,2026-07-10T04:00:09.031Z,2026-07-10
本田技研工業株式会社,,66.1,0,JOB_DOWN,12,,,,○,2026-06-18T23:36:18.438Z,2026-07-10T04:00:09.031Z,2026-07-10
マンパワーグループ株式会社,,63.5,0,JOB_UP|NEW_QUERY|NEW_QUERY|NEW_QUERY,3,,○,,○,2026-06-18T13:23:40.266Z,2026-07-10T04:00:09.031Z,2026-07-10
株式会社alBee,,63.2,0,JOB_UP|NEW_QUERY,2,,○,,○,2026-06-21T05:19:13.003Z,2026-07-10T04:00:09.031Z,2026-07-10
株式会社プロジェクトトリガー,,61.2,0,JOB_UP|NEW_QUERY,2,2027,○,,○,2026-06-21T05:19:13.003Z,2026-07-10T04:00:09.031Z,2026-07-10
ギブクリエーション株式会社,,50.9,0,JOB_DOWN|NEW_GRAD_YEAR,1,2026,,○,○,2026-07-03T22:00:08.268Z,2026-07-10T04:00:09.031Z,2026-07-10
株式会社ELシステム,,48.6,0,JOB_UP|NEW_QUERY,2,2027,○,,○,2026-07-03T22:00:08.268Z,2026-07-10T04:00:09.031Z,2026-07-10
JAGフィールド株式会社,,45.6,0,GONE,3,,,,○,2026-07-04T10:00:09.195Z,2026-07-10T04:00:09.031Z,2026-07-10
JHRconsulting株式会社,,44.8,0,JOB_UP|NEW_QUERY,3,2027,○,,○,2026-07-03T22:00:08.268Z,2026-07-10T04:00:09.031Z,2026-07-10
株式会社大斗,,43.8,0,NEW_QUERY,2,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-10T04:00:09.031Z,2026-07-10
株式会社Meta Sales,,41.8,0,REAPPEARED,1,2027,,○,○,2026-07-03T22:00:08.268Z,2026-07-10T04:00:09.031Z,2026-07-10
株式会社ネオキャリア,,40.1,0,JOB_UP|NEW_QUERY,6,,○,,○,2026-06-18T13:23:20.303Z,2026-07-10T04:00:09.031Z,2026-07-10
ピアス株式会社,,39.7,0,JOB_DOWN,2,,,,○,2026-07-03T22:00:08.268Z,2026-07-10T04:00:09.031Z,2026-07-10
ベンタス株式会社,,39.2,0,JOB_DOWN,1,,,,○,2026-06-18T13:23:40.266Z,2026-07-10T04:00:09.031Z,2026-07-10
株式会社Creer,,37.4,0,REAPPEARED,1,2027,,○,○,2026-07-03T22:00:08.268Z,2026-07-10T04:00:09.031Z,2026-07-10
株式会社Le Lien,,33.5,0,JOB_DOWN,1,,,,○,2026-07-03T22:00:08.268Z,2026-07-10T04:00:09.031Z,2026-07-10
株式会社ロッテ,,32.9,0,JOB_DOWN,12,,,,○,2026-06-18T23:36:18.438Z,2026-07-10T04:00:09.031Z,2026-07-10
株式会社I・PARTNERS,,30.7,0,REAPPEARED,1,,,○,○,2026-07-04T04:00:03.351Z,2026-07-10T04:00:09.031Z,2026-07-10
株式会社enrich technology,,30.4,0,JOB_DOWN,1,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-10T04:00:09.031Z,2026-07-10
株式会社i-plug,,30.2,0,JOB_UP|NEW_QUERY,5,,○,,○,2026-06-18T13:23:20.303Z,2026-07-10T04:00:09.031Z,2026-07-10
パーソルエクセルHRパートナーズ株式会社,,29.5,0,JOB_UP|NEW_QUERY,3,,○,,○,2026-06-21T05:19:13.003Z,2026-07-10T04:00:09.031Z,2026-07-10
ヒューマンリソシア株式会社,,28.3,0,REAPPEARED,1,,,○,○,2026-06-18T13:23:40.266Z,2026-07-10T04:00:09.031Z,2026-07-10
株式会社トータルオフィスパートナー,,28.2,0,REAPPEARED,1,,,○,○,2026-07-04T10:00:09.195Z,2026-07-10T04:00:09.031Z,2026-07-10
Ｓｋｙ株式会社,,27.6,0,JOB_DOWN,12,,,,○,2026-06-18T23:36:18.438Z,2026-07-10T04:00:09.031Z,2026-07-10
サンワ株式会社,,26.6,0,JOB_UP|NEW_QUERY,2,,○,,○,2026-06-18T13:23:40.266Z,2026-07-10T04:00:09.031Z,2026-07-10
株式会社インターテクノ,,25.3,0,JOB_DOWN,2,,,,○,2026-07-03T22:00:08.268Z,2026-07-10T04:00:09.031Z,2026-07-10
