企業名,法人番号,熱量,鮮度h,直近イベント,求人件数,卒年,出稿増,採用ページ更新,インテント,初検知,最終更新,取得日
株式会社Creer,,63.9,0,JOB_UP|NEW_GRAD_YEAR|NEW_QUERY,2,2027,○,○,○,2026-07-03T22:00:08.268Z,2026-07-06T16:00:02.614Z,2026-07-06
マンパワーグループ株式会社,,63.7,0,GONE,6,,,,○,2026-06-18T13:23:40.266Z,2026-07-06T16:00:02.614Z,2026-07-06
JAGフィールド株式会社,,53.2,0,JOB_UP|NEW_QUERY,4,,○,,○,2026-07-04T10:00:09.195Z,2026-07-06T16:00:02.614Z,2026-07-06
本田技研工業株式会社,,47.0,0,JOB_DOWN,12,,,,○,2026-06-18T23:36:18.438Z,2026-07-06T16:00:02.614Z,2026-07-06
株式会社LOP,,46.5,0,JOB_UP|NEW_GRAD_YEAR|NEW_QUERY,2,2027,○,○,○,2026-07-06T04:00:03.149Z,2026-07-06T16:00:02.614Z,2026-07-06
ギブクリエーション株式会社,,40.3,0,NEW_QUERY,2,,,,○,2026-07-03T22:00:08.268Z,2026-07-06T16:00:02.614Z,2026-07-06
株式会社三菱UFJ銀行,,40.0,0,JOB_DOWN,12,,,,○,2026-06-18T23:36:18.438Z,2026-07-06T16:00:02.614Z,2026-07-06
株式会社ロッテ,,38.0,0,JOB_DOWN,12,,,,○,2026-06-18T23:36:18.438Z,2026-07-06T16:00:02.614Z,2026-07-06
Ｓｋｙ株式会社,,38.0,0,JOB_DOWN,12,,,,○,2026-06-18T23:36:18.438Z,2026-07-06T16:00:02.614Z,2026-07-06
株式会社リクルートスタッフィング,,37.0,0,JOB_UP|NEW_QUERY|NEW_QUERY|NEW_QUERY,4,,○,,○,2026-06-18T13:23:20.303Z,2026-07-06T16:00:02.614Z,2026-07-06
JHRconsulting株式会社,,34.5,0,JOB_DOWN,2,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-06T16:00:02.614Z,2026-07-06
株式会社alBee,,32.2,0,JOB_UP|NEW_QUERY,2,,○,,○,2026-06-21T05:19:13.003Z,2026-07-06T16:00:02.614Z,2026-07-06
新日本ビルメンテナンス株式会社,,31.3,0,REAPPEARED,1,,,○,○,2026-07-04T10:00:09.195Z,2026-07-06T16:00:02.614Z,2026-07-06
株式会社インターテクノ,,30.2,0,JOB_UP|NEW_QUERY,3,,○,,○,2026-07-03T22:00:08.268Z,2026-07-06T16:00:02.614Z,2026-07-06
株式会社SNK,,28.2,0,GONE,2,,,,○,2026-07-03T22:00:08.268Z,2026-07-06T16:00:02.614Z,2026-07-06
株式会社i-plug,,27.2,0,JOB_DOWN,5,,,,○,2026-06-18T13:23:20.303Z,2026-07-06T16:00:02.614Z,2026-07-06
ピアス株式会社,,27.2,0,JOB_DOWN,2,,,,○,2026-07-03T22:00:08.268Z,2026-07-06T16:00:02.614Z,2026-07-06
株式会社Meta Sales,,26.2,0,JOB_DOWN,1,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-06T16:00:02.614Z,2026-07-06
株式会社インテリム,,25.4,0,REAPPEARED,1,,,○,○,2026-07-04T16:00:02.382Z,2026-07-06T16:00:02.614Z,2026-07-06
アデコ株式会社,,24.8,0,REAPPEARED,2,,,○,○,2026-06-21T05:19:13.003Z,2026-07-06T16:00:02.614Z,2026-07-06
株式会社Le Lien,,24.4,0,JOB_UP|NEW_QUERY,2,2027,○,,○,2026-07-03T22:00:08.268Z,2026-07-06T16:00:02.614Z,2026-07-06
ベンタス株式会社,,24.1,0,GONE,1,,,,○,2026-06-18T13:23:40.266Z,2026-07-06T16:00:02.614Z,2026-07-06
株式会社エル・コーエイ,,24.0,0,GONE,1,,,,○,2026-07-04T04:00:03.351Z,2026-07-06T16:00:02.614Z,2026-07-06
株式会社キソシン,,24.0,0,JOB_UP|NEW_QUERY,3,2027,○,,○,2026-06-21T05:19:13.003Z,2026-07-06T16:00:02.614Z,2026-07-06
株式会社プロジェクトトリガー,,23.5,0,JOB_DOWN,1,2027,,,○,2026-06-21T05:19:13.003Z,2026-07-06T16:00:02.614Z,2026-07-06
株式会社レオパレス21,,23.0,0,JOB_UP|NEW_QUERY,2,,○,,○,2026-06-21T05:19:13.003Z,2026-07-06T16:00:02.614Z,2026-07-06
フェンリル株式会社,,22.6,0,JOB_UP|NEW_QUERY,2,,○,,○,2026-07-03T22:00:08.268Z,2026-07-06T16:00:02.614Z,2026-07-06
ハート・インターナショナルグループ,,22.4,0,JOB_UP|NEW_QUERY,2,,○,,○,2026-06-18T13:23:20.303Z,2026-07-06T16:00:02.614Z,2026-07-06
株式会社ELM,,22.2,0,REAPPEARED,1,2027,,○,○,2026-07-03T22:00:08.268Z,2026-07-06T16:00:02.614Z,2026-07-06
株式会社バンダイ,,22.1,0,JOB_UP|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY,12,,○,,○,2026-06-18T23:36:18.438Z,2026-07-06T16:00:02.614Z,2026-07-06
