企業名,法人番号,熱量,鮮度h,直近イベント,求人件数,卒年,出稿増,採用ページ更新,インテント,初検知,最終更新,取得日
マンパワーグループ株式会社,,73.1,0,GONE,5,,,,○,2026-06-18T13:23:40.266Z,2026-07-07T16:00:03.006Z,2026-07-07
JAGフィールド株式会社,,58.8,0,JOB_DOWN,2,,,,○,2026-07-04T10:00:09.195Z,2026-07-07T16:00:03.006Z,2026-07-07
株式会社リクルートスタッフィング,,56.5,0,JOB_UP|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY,5,,○,,○,2026-06-18T13:23:20.303Z,2026-07-07T16:00:03.006Z,2026-07-07
Ｓｋｙ株式会社,,50.5,0,JOB_UP|NEW_GRAD_YEAR|NEW_QUERY,13,2027,○,○,○,2026-06-18T23:36:18.438Z,2026-07-07T16:00:03.006Z,2026-07-07
株式会社Creer,,48.7,0,JOB_DOWN,1,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-07T16:00:03.006Z,2026-07-07
株式会社LOP,,43.4,0,JOB_UP|NEW_QUERY,2,,○,,○,2026-07-06T04:00:03.149Z,2026-07-07T16:00:03.006Z,2026-07-07
株式会社alBee,,40.6,0,JOB_UP|NEW_QUERY,3,,○,,○,2026-06-21T05:19:13.003Z,2026-07-07T16:00:03.006Z,2026-07-07
本田技研工業株式会社,,37.3,0,JOB_DOWN,12,,,,○,2026-06-18T23:36:18.438Z,2026-07-07T16:00:03.006Z,2026-07-07
株式会社ネオキャリア,,32.0,0,JOB_DOWN|NEW_QUERY,4,,,,○,2026-06-18T13:23:20.303Z,2026-07-07T16:00:03.006Z,2026-07-07
ギブクリエーション株式会社,,32.0,0,GONE,2,,,,○,2026-07-03T22:00:08.268Z,2026-07-07T16:00:03.006Z,2026-07-07
株式会社三菱UFJ銀行,,31.8,0,JOB_DOWN,12,,,,○,2026-06-18T23:36:18.438Z,2026-07-07T16:00:03.006Z,2026-07-07
ピアス株式会社,,30.5,0,JOB_DOWN,1,,,,○,2026-07-03T22:00:08.268Z,2026-07-07T16:00:03.006Z,2026-07-07
株式会社Le Lien,,30.4,0,JOB_UP|NEW_QUERY,3,2027,○,,○,2026-07-03T22:00:08.268Z,2026-07-07T16:00:03.006Z,2026-07-07
株式会社ロッテ,,30.2,0,JOB_DOWN,12,,,,○,2026-06-18T23:36:18.438Z,2026-07-07T16:00:03.006Z,2026-07-07
株式会社SNK,,29.9,0,GONE,1,,,,○,2026-07-03T22:00:08.268Z,2026-07-07T16:00:03.006Z,2026-07-07
株式会社インターテクノ,,28.8,0,JOB_UP|NEW_QUERY,3,,○,,○,2026-07-03T22:00:08.268Z,2026-07-07T16:00:03.006Z,2026-07-07
JHRconsulting株式会社,,27.4,0,JOB_DOWN,2,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-07T16:00:03.006Z,2026-07-07
株式会社エル・コーエイ,,27.1,0,GONE,1,,,,○,2026-07-04T04:00:03.351Z,2026-07-07T16:00:03.006Z,2026-07-07
株式会社enrich technology,,27.1,0,JOB_UP|NEW_QUERY,2,2027,○,,○,2026-07-03T22:00:08.268Z,2026-07-07T16:00:03.006Z,2026-07-07
株式会社ELM,,26.7,0,JOB_DOWN,1,,,,○,2026-07-03T22:00:08.268Z,2026-07-07T16:00:03.006Z,2026-07-07
株式会社インテリム,,26.4,0,REAPPEARED,1,,,○,○,2026-07-04T16:00:02.382Z,2026-07-07T16:00:03.006Z,2026-07-07
株式会社プロジェクトトリガー,,26.1,0,JOB_DOWN,1,2027,,,○,2026-06-21T05:19:13.003Z,2026-07-07T16:00:03.006Z,2026-07-07
株式会社フジワーク,,26.1,0,GONE,3,,,,○,2026-07-03T22:00:08.268Z,2026-07-07T16:00:03.006Z,2026-07-07
新日本ビルメンテナンス株式会社,,24.9,0,GONE,1,,,,○,2026-07-04T10:00:09.195Z,2026-07-07T16:00:03.006Z,2026-07-07
大黒天物産株式会社,,24.2,0,REAPPEARED,1,,,○,○,2026-07-04T10:00:09.195Z,2026-07-07T16:00:03.006Z,2026-07-07
株式会社ELシステム,,24.2,0,JOB_UP|NEW_QUERY,2,2027,○,,○,2026-07-03T22:00:08.268Z,2026-07-07T16:00:03.006Z,2026-07-07
株式会社スフィア,,24.1,0,REAPPEARED,1,,,○,○,2026-07-06T22:00:09.178Z,2026-07-07T16:00:03.006Z,2026-07-07
株式会社大斗,,24.1,0,JOB_UP|NEW_QUERY,2,2027,○,,○,2026-07-03T22:00:08.268Z,2026-07-07T16:00:03.006Z,2026-07-07
株式会社スタッフサービス,,24.0,0,REAPPEARED,2,,,○,○,2026-06-18T13:23:40.266Z,2026-07-07T16:00:03.006Z,2026-07-07
株式会社オープンループパートナーズ梅田支店,,23.7,0,REAPPEARED,1,,,○,○,2026-07-04T10:00:09.195Z,2026-07-07T16:00:03.006Z,2026-07-07
