企業名,法人番号,熱量,鮮度h,直近イベント,求人件数,卒年,出稿増,採用ページ更新,インテント,初検知,最終更新,取得日
株式会社LOP,,104.2,0,JOB_UP|NEW_GRAD_YEAR|NEW_QUERY,3,2027,○,○,○,2026-07-06T04:00:03.149Z,2026-07-10T16:00:08.996Z,2026-07-10
株式会社キソシン,,70.6,0,JOB_UP|NEW_QUERY,3,2027,○,,○,2026-06-21T05:19:13.003Z,2026-07-10T16:00:08.996Z,2026-07-10
ベンタス株式会社,,65.4,0,JOB_UP|NEW_GRAD_YEAR|NEW_QUERY,2,2027,○,○,○,2026-06-18T13:23:40.266Z,2026-07-10T16:00:08.996Z,2026-07-10
株式会社リクルートスタッフィング,,65.1,0,JOB_DOWN,1,,,,○,2026-06-18T13:23:20.303Z,2026-07-10T16:00:08.996Z,2026-07-10
株式会社ELM,,61.3,0,GONE,2,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-10T16:00:08.996Z,2026-07-10
株式会社GUM,,61.3,0,JOB_DOWN|NEW_QUERY,1,2027,,,○,2026-06-21T05:19:13.003Z,2026-07-10T16:00:08.996Z,2026-07-10
マンパワーグループ株式会社,,60.3,0,NEW_QUERY,1,,,,○,2026-06-18T13:23:40.266Z,2026-07-10T16:00:08.996Z,2026-07-10
株式会社プロジェクトトリガー,,59.2,0,NEW_QUERY,2,2027,,,○,2026-06-21T05:19:13.003Z,2026-07-10T16:00:08.996Z,2026-07-10
本田技研工業株式会社,,58.9,0,JOB_DOWN,12,,,,○,2026-06-18T23:36:18.438Z,2026-07-10T16:00:08.996Z,2026-07-10
株式会社alBee,,54.5,0,JOB_DOWN,1,,,,○,2026-06-21T05:19:13.003Z,2026-07-10T16:00:08.996Z,2026-07-10
ギブクリエーション株式会社,,53.9,0,JOB_UP|NEW_QUERY,2,,○,,○,2026-07-03T22:00:08.268Z,2026-07-10T16:00:08.996Z,2026-07-10
株式会社Meta Sales,,53.6,0,JOB_UP|NEW_QUERY|NEW_QUERY,2,2027,○,,○,2026-07-03T22:00:08.268Z,2026-07-10T16:00:08.996Z,2026-07-10
株式会社Le Lien,,48.6,0,NEW_GRAD_YEAR,1,2027,,○,○,2026-07-03T22:00:08.268Z,2026-07-10T16:00:08.996Z,2026-07-10
株式会社ELシステム,,48.0,0,NEW_QUERY,2,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-10T16:00:08.996Z,2026-07-10
ピアス株式会社,,45.0,0,JOB_DOWN,2,,,,○,2026-07-03T22:00:08.268Z,2026-07-10T16:00:08.996Z,2026-07-10
株式会社大斗,,43.7,0,NEW_QUERY,2,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-10T16:00:08.996Z,2026-07-10
JAGフィールド株式会社,,42.2,0,JOB_DOWN,2,,,,○,2026-07-04T10:00:09.195Z,2026-07-10T16:00:08.996Z,2026-07-10
株式会社ネオキャリア,,40.6,0,JOB_UP|NEW_QUERY,4,,○,,○,2026-06-18T13:23:20.303Z,2026-07-10T16:00:08.996Z,2026-07-10
パーソルエクセルHRパートナーズ株式会社,,40.1,0,JOB_DOWN|NEW_QUERY|NEW_QUERY,3,,,,○,2026-06-21T05:19:13.003Z,2026-07-10T16:00:08.996Z,2026-07-10
JHRconsulting株式会社,,39.9,0,GONE,3,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-10T16:00:08.996Z,2026-07-10
株式会社enrich technology,,38.8,0,JOB_UP|NEW_QUERY,2,2027,○,,○,2026-07-03T22:00:08.268Z,2026-07-10T16:00:08.996Z,2026-07-10
パーソルテンプスタッフ株式会社,,38.1,0,JOB_UP|NEW_QUERY|NEW_QUERY,3,,○,,○,2026-06-18T13:23:40.266Z,2026-07-10T16:00:08.996Z,2026-07-10
株式会社Creer,,38.0,0,NEW_QUERY,1,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-10T16:00:08.996Z,2026-07-10
株式会社I・PARTNERS,,35.8,0,GONE,2,,,,○,2026-07-04T04:00:03.351Z,2026-07-10T16:00:08.996Z,2026-07-10
ヒューマンリソシア株式会社,,34.2,0,JOB_UP|NEW_QUERY,2,,○,,○,2026-06-18T13:23:40.266Z,2026-07-10T16:00:08.996Z,2026-07-10
株式会社リクルートR&Dスタッフィング,,29.4,0,GONE,2,,,,○,2026-07-04T10:00:09.195Z,2026-07-10T16:00:08.996Z,2026-07-10
株式会社ロッテ,,29.3,0,JOB_DOWN,12,,,,○,2026-06-18T23:36:18.438Z,2026-07-10T16:00:08.996Z,2026-07-10
株式会社インテリム,,28.1,0,REAPPEARED,1,,,○,○,2026-07-04T16:00:02.382Z,2026-07-10T16:00:08.996Z,2026-07-10
フェンリル株式会社,,27.6,0,GONE,3,,,,○,2026-07-03T22:00:08.268Z,2026-07-10T16:00:08.996Z,2026-07-10
株式会社インターテクノ,,27.0,0,JOB_DOWN,2,,,,○,2026-07-03T22:00:08.268Z,2026-07-10T16:00:08.996Z,2026-07-10
