企業名,法人番号,熱量,鮮度h,直近イベント,求人件数,卒年,出稿増,採用ページ更新,インテント,初検知,最終更新,取得日
マンパワーグループ株式会社,,71.5,0,JOB_UP|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY,6,,○,,○,2026-06-18T13:23:40.266Z,2026-07-06T04:00:03.149Z,2026-07-06
本田技研工業株式会社,,52.7,0,JOB_DOWN,12,,,,○,2026-06-18T23:36:18.438Z,2026-07-06T04:00:03.149Z,2026-07-06
JAGフィールド株式会社,,47.0,0,JOB_UP|NEW_QUERY|NEW_QUERY,3,,○,,○,2026-07-04T10:00:09.195Z,2026-07-06T04:00:03.149Z,2026-07-06
株式会社ロッテ,,42.7,0,JOB_DOWN,12,,,,○,2026-06-18T23:36:18.438Z,2026-07-06T04:00:03.149Z,2026-07-06
Ｓｋｙ株式会社,,42.7,0,JOB_DOWN,12,,,,○,2026-06-18T23:36:18.438Z,2026-07-06T04:00:03.149Z,2026-07-06
JHRconsulting株式会社,,41.3,0,JOB_UP|NEW_QUERY,3,2027,○,,○,2026-07-03T22:00:08.268Z,2026-07-06T04:00:03.149Z,2026-07-06
株式会社Creer,,37.6,0,JOB_DOWN,1,,,,○,2026-07-03T22:00:08.268Z,2026-07-06T04:00:03.149Z,2026-07-06
株式会社SNK,,31.6,0,GONE,2,,,,○,2026-07-03T22:00:08.268Z,2026-07-06T04:00:03.149Z,2026-07-06
株式会社Meta Sales,,29.5,0,JOB_DOWN,1,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-06T04:00:03.149Z,2026-07-06
ギブクリエーション株式会社,,29.4,0,JOB_UP|NEW_QUERY,2,,○,,○,2026-07-03T22:00:08.268Z,2026-07-06T04:00:03.149Z,2026-07-06
株式会社プロジェクトトリガー,,29.0,0,JOB_UP|NEW_QUERY,2,2027,○,,○,2026-06-21T05:19:13.003Z,2026-07-06T04:00:03.149Z,2026-07-06
株式会社インターテクノ,,28.4,0,JOB_UP|NEW_QUERY,3,,○,,○,2026-07-03T22:00:08.268Z,2026-07-06T04:00:03.149Z,2026-07-06
株式会社Le Lien,,27.4,0,JOB_UP|NEW_QUERY,2,2027,○,,○,2026-07-03T22:00:08.268Z,2026-07-06T04:00:03.149Z,2026-07-06
ベンタス株式会社,,27.0,0,NEW_QUERY,1,,,,○,2026-06-18T13:23:40.266Z,2026-07-06T04:00:03.149Z,2026-07-06
株式会社エル・コーエイ,,27.0,0,GONE,1,,,,○,2026-07-04T04:00:03.351Z,2026-07-06T04:00:03.149Z,2026-07-06
株式会社キソシン,,26.9,0,JOB_UP|NEW_QUERY,3,2027,○,,○,2026-06-21T05:19:13.003Z,2026-07-06T04:00:03.149Z,2026-07-06
