企業名,法人番号,熱量,鮮度h,直近イベント,求人件数,卒年,出稿増,採用ページ更新,インテント,初検知,最終更新,取得日
株式会社LOP,,79.0,0,NEW_QUERY,2,2027,,,○,2026-07-06T04:00:03.149Z,2026-07-12T10:00:02.912Z,2026-07-12
ベンタス株式会社,,76.2,0,JOB_DOWN,1,2027,,,○,2026-06-18T13:23:40.266Z,2026-07-12T10:00:02.912Z,2026-07-12
株式会社Meta Sales,,67.7,0,JOB_UP|NEW_QUERY,2,2027,○,,○,2026-07-03T22:00:08.268Z,2026-07-12T10:00:02.912Z,2026-07-12
ギブクリエーション株式会社,,63.8,0,JOB_UP|NEW_QUERY,2,2026,○,,○,2026-07-03T22:00:08.268Z,2026-07-12T10:00:02.912Z,2026-07-12
株式会社ELM,,61.7,0,NEW_GRAD_YEAR|NEW_QUERY,1,2027,,○,○,2026-07-03T22:00:08.268Z,2026-07-12T10:00:02.912Z,2026-07-12
パーソルエクセルHRパートナーズ株式会社,,60.9,0,JOB_UP|NEW_QUERY|NEW_QUERY,4,,○,,○,2026-06-21T05:19:13.003Z,2026-07-12T10:00:02.912Z,2026-07-12
株式会社GUM,,60.6,0,GONE,2,2027,,,○,2026-06-21T05:19:13.003Z,2026-07-12T10:00:02.912Z,2026-07-12
ヒューマンリソシア株式会社,,60.5,0,NEW_QUERY|NEW_QUERY,3,,,,○,2026-06-18T13:23:40.266Z,2026-07-12T10:00:02.912Z,2026-07-12
ピアス株式会社,,60.1,0,JOB_UP,3,,○,,○,2026-07-03T22:00:08.268Z,2026-07-12T10:00:02.912Z,2026-07-12
株式会社リクルートスタッフィング,,58.8,0,REAPPEARED,2,,,○,○,2026-06-18T13:23:20.303Z,2026-07-12T10:00:02.912Z,2026-07-12
パーソルテンプスタッフ株式会社,,57.3,0,JOB_UP|NEW_QUERY|NEW_QUERY,4,,○,,○,2026-06-18T13:23:40.266Z,2026-07-12T10:00:02.912Z,2026-07-12
株式会社キソシン,,56.5,0,REAPPEARED,1,2027,,○,○,2026-06-21T05:19:13.003Z,2026-07-12T10:00:02.912Z,2026-07-12
株式会社enrich technology,,53.2,0,JOB_UP|NEW_GRAD_YEAR|NEW_QUERY,2,2027,○,○,○,2026-07-03T22:00:08.268Z,2026-07-12T10:00:02.912Z,2026-07-12
株式会社大斗,,49.7,0,JOB_DOWN|NEW_GRAD_YEAR,1,2027,,○,○,2026-07-03T22:00:08.268Z,2026-07-12T10:00:02.912Z,2026-07-12
マンパワーグループ株式会社,,46.5,0,REAPPEARED,2,,,○,○,2026-06-18T13:23:40.266Z,2026-07-12T10:00:02.912Z,2026-07-12
株式会社Creer,,44.0,0,REAPPEARED,1,2027,,○,○,2026-07-03T22:00:08.268Z,2026-07-12T10:00:02.912Z,2026-07-12
アデコ株式会社,,42.8,0,JOB_UP|NEW_QUERY|NEW_QUERY|NEW_QUERY,4,,○,,○,2026-06-21T05:19:13.003Z,2026-07-12T10:00:02.912Z,2026-07-12
株式会社alBee,,41.8,0,NEW_QUERY,1,,,,○,2026-06-21T05:19:13.003Z,2026-07-12T10:00:02.912Z,2026-07-12
株式会社プロジェクトトリガー,,40.6,0,GONE,1,,,,○,2026-06-21T05:19:13.003Z,2026-07-12T10:00:02.912Z,2026-07-12
株式会社ネオキャリア,,39.6,0,JOB_UP|NEW_QUERY,5,,○,,○,2026-06-18T13:23:20.303Z,2026-07-12T10:00:02.912Z,2026-07-12
本田技研工業株式会社,,39.3,0,JOB_DOWN,12,,,,○,2026-06-18T23:36:18.438Z,2026-07-12T10:00:02.912Z,2026-07-12
株式会社I・PARTNERS,,39.2,0,REAPPEARED,1,,,○,○,2026-07-04T04:00:03.351Z,2026-07-12T10:00:02.912Z,2026-07-12
株式会社Le Lien,,39.0,0,JOB_DOWN,1,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-12T10:00:02.912Z,2026-07-12
株式会社リクルートR&Dスタッフィング,,38.8,0,REAPPEARED,1,,,○,○,2026-07-04T10:00:09.195Z,2026-07-12T10:00:02.912Z,2026-07-12
株式会社スタッフサービス,,36.7,0,JOB_DOWN,1,,,,○,2026-06-18T13:23:40.266Z,2026-07-12T10:00:02.912Z,2026-07-12
株式会社ELシステム,,36.5,0,NEW_QUERY,1,,,,○,2026-07-03T22:00:08.268Z,2026-07-12T10:00:02.912Z,2026-07-12
JAGフィールド株式会社,,35.9,0,GONE,1,,,,○,2026-07-04T10:00:09.195Z,2026-07-12T10:00:02.912Z,2026-07-12
株式会社ワクトリ,,35.1,0,REAPPEARED,1,,,○,○,2026-07-10T10:00:02.569Z,2026-07-12T10:00:02.912Z,2026-07-12
Ｓｋｙ株式会社,,34.4,0,JOB_DOWN,12,,,,○,2026-06-18T23:36:18.438Z,2026-07-12T10:00:02.912Z,2026-07-12
株式会社i-plug,,30.8,0,JOB_UP|NEW_QUERY,4,,○,,○,2026-06-18T13:23:20.303Z,2026-07-12T10:00:02.912Z,2026-07-12
