企業名,法人番号,熱量,鮮度h,直近イベント,求人件数,卒年,出稿増,採用ページ更新,インテント,初検知,最終更新,取得日
株式会社LOP,,78.1,0,JOB_UP|NEW_QUERY,2,,○,,○,2026-07-06T04:00:03.149Z,2026-07-10T10:00:02.569Z,2026-07-10
株式会社リクルートスタッフィング,,70.3,0,NEW_QUERY,2,,,,○,2026-06-18T13:23:20.303Z,2026-07-10T10:00:02.569Z,2026-07-10
株式会社ELM,,65.0,0,JOB_DOWN,2,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-10T10:00:02.569Z,2026-07-10
株式会社キソシン,,62.4,0,JOB_UP|NEW_QUERY,2,2027,○,,○,2026-06-21T05:19:13.003Z,2026-07-10T10:00:02.569Z,2026-07-10
株式会社GUM,,62.4,0,JOB_UP|NEW_QUERY|NEW_QUERY,3,2027,○,,○,2026-06-21T05:19:13.003Z,2026-07-10T10:00:02.569Z,2026-07-10
本田技研工業株式会社,,62.4,0,JOB_DOWN,12,,,,○,2026-06-18T23:36:18.438Z,2026-07-10T10:00:02.569Z,2026-07-10
マンパワーグループ株式会社,,61.7,0,JOB_DOWN|NEW_QUERY,1,,,,○,2026-06-18T13:23:40.266Z,2026-07-10T10:00:02.569Z,2026-07-10
株式会社alBee,,59.7,0,JOB_UP|NEW_QUERY,2,,○,,○,2026-06-21T05:19:13.003Z,2026-07-10T10:00:02.569Z,2026-07-10
株式会社プロジェクトトリガー,,57.8,0,JOB_UP|NEW_QUERY,2,2027,○,,○,2026-06-21T05:19:13.003Z,2026-07-10T10:00:02.569Z,2026-07-10
ギブクリエーション株式会社,,50.4,0,NEW_QUERY,1,,,,○,2026-07-03T22:00:08.268Z,2026-07-10T10:00:02.569Z,2026-07-10
ピアス株式会社,,49.6,0,JOB_UP|NEW_QUERY,4,,○,,○,2026-07-03T22:00:08.268Z,2026-07-10T10:00:02.569Z,2026-07-10
JAGフィールド株式会社,,46.6,0,NEW_QUERY,4,,,,○,2026-07-04T10:00:09.195Z,2026-07-10T10:00:02.569Z,2026-07-10
株式会社ELシステム,,45.9,0,JOB_UP|NEW_QUERY,2,2027,○,,○,2026-07-03T22:00:08.268Z,2026-07-10T10:00:02.569Z,2026-07-10
JHRconsulting株式会社,,42.3,0,JOB_UP|NEW_QUERY,3,2027,○,,○,2026-07-03T22:00:08.268Z,2026-07-10T10:00:02.569Z,2026-07-10
株式会社大斗,,41.3,0,NEW_QUERY,2,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-10T10:00:02.569Z,2026-07-10
株式会社Meta Sales,,39.5,0,REAPPEARED,1,2027,,○,○,2026-07-03T22:00:08.268Z,2026-07-10T10:00:02.569Z,2026-07-10
株式会社I・PARTNERS,,38.0,0,JOB_UP|NEW_QUERY,2,,○,,○,2026-07-04T04:00:03.351Z,2026-07-10T10:00:02.569Z,2026-07-10
ベンタス株式会社,,37.0,0,JOB_DOWN,1,,,,○,2026-06-18T13:23:40.266Z,2026-07-10T10:00:02.569Z,2026-07-10
パーソルエクセルHRパートナーズ株式会社,,36.8,0,JOB_UP|NEW_QUERY,4,,○,,○,2026-06-21T05:19:13.003Z,2026-07-10T10:00:02.569Z,2026-07-10
株式会社ネオキャリア,,36.7,0,JOB_DOWN,3,,,,○,2026-06-18T13:23:20.303Z,2026-07-10T10:00:02.569Z,2026-07-10
株式会社Creer,,35.3,0,REAPPEARED,1,2027,,○,○,2026-07-03T22:00:08.268Z,2026-07-10T10:00:02.569Z,2026-07-10
株式会社Le Lien,,31.7,0,JOB_DOWN,1,,,,○,2026-07-03T22:00:08.268Z,2026-07-10T10:00:02.569Z,2026-07-10
株式会社リクルートR&Dスタッフィング,,31.2,0,JOB_UP|NEW_QUERY,2,,○,,○,2026-07-04T10:00:09.195Z,2026-07-10T10:00:02.569Z,2026-07-10
株式会社ロッテ,,31.0,0,JOB_DOWN,12,,,,○,2026-06-18T23:36:18.438Z,2026-07-10T10:00:02.569Z,2026-07-10
株式会社インターテクノ,,29.9,0,JOB_UP|NEW_QUERY,3,,○,,○,2026-07-03T22:00:08.268Z,2026-07-10T10:00:02.569Z,2026-07-10
株式会社インテリム,,29.8,0,REAPPEARED,1,,,○,○,2026-07-04T16:00:02.382Z,2026-07-10T10:00:02.569Z,2026-07-10
フェンリル株式会社,,29.2,0,REAPPEARED,3,,,○,○,2026-07-03T22:00:08.268Z,2026-07-10T10:00:02.569Z,2026-07-10
株式会社enrich technology,,28.7,0,JOB_DOWN,1,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-10T10:00:02.569Z,2026-07-10
株式会社Precision Financial,,27.5,0,REAPPEARED,1,,,○,○,2026-07-08T10:10:53.808Z,2026-07-10T10:00:02.569Z,2026-07-10
株式会社i-plug,,27.2,0,JOB_DOWN,4,,,,○,2026-06-18T13:23:20.303Z,2026-07-10T10:00:02.569Z,2026-07-10
