企業名,法人番号,熱量,鮮度h,直近イベント,求人件数,卒年,出稿増,採用ページ更新,インテント,初検知,最終更新,取得日
株式会社LOP,,83.8,0,JOB_DOWN,1,,,,○,2026-07-06T04:00:03.149Z,2026-07-09T04:00:08.350Z,2026-07-09
株式会社ELM,,79.0,0,JOB_DOWN,3,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-09T04:00:08.350Z,2026-07-09
株式会社alBee,,70.5,0,JOB_DOWN,2,,,,○,2026-06-21T05:19:13.003Z,2026-07-09T04:00:08.350Z,2026-07-09
マンパワーグループ株式会社,,63.7,0,JOB_UP|NEW_QUERY|NEW_QUERY|NEW_QUERY,3,,○,,○,2026-06-18T13:23:40.266Z,2026-07-09T04:00:08.350Z,2026-07-09
株式会社リクルートスタッフィング,,62.3,0,JOB_UP|NEW_QUERY,2,,○,,○,2026-06-18T13:23:20.303Z,2026-07-09T04:00:08.350Z,2026-07-09
株式会社キソシン,,60.7,0,JOB_UP|NEW_QUERY|NEW_QUERY,3,2027,○,,○,2026-06-21T05:19:13.003Z,2026-07-09T04:00:08.350Z,2026-07-09
株式会社GUM,,59.0,0,JOB_DOWN,1,2027,,,○,2026-06-21T05:19:13.003Z,2026-07-09T04:00:08.350Z,2026-07-09
JAGフィールド株式会社,,55.6,0,GONE,4,,,,○,2026-07-04T10:00:09.195Z,2026-07-09T04:00:08.350Z,2026-07-09
株式会社大斗,,55.1,0,NEW_QUERY,2,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-09T04:00:08.350Z,2026-07-09
株式会社プロジェクトトリガー,,54.5,0,JOB_DOWN,2,2027,,,○,2026-06-21T05:19:13.003Z,2026-07-09T04:00:08.350Z,2026-07-09
ベンタス株式会社,,49.4,0,JOB_DOWN,1,,,,○,2026-06-18T13:23:40.266Z,2026-07-09T04:00:08.350Z,2026-07-09
株式会社ELシステム,,49.3,0,JOB_DOWN,2,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-09T04:00:08.350Z,2026-07-09
ギブクリエーション株式会社,,44.9,0,NEW_GRAD_YEAR|NEW_QUERY,1,2026,,○,○,2026-07-03T22:00:08.268Z,2026-07-09T04:00:08.350Z,2026-07-09
株式会社Le Lien,,44.5,0,JOB_UP|NEW_QUERY,2,,○,,○,2026-07-03T22:00:08.268Z,2026-07-09T04:00:08.350Z,2026-07-09
JHRconsulting株式会社,,41.7,0,JOB_DOWN,2,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-09T04:00:08.350Z,2026-07-09
本田技研工業株式会社,,40.5,0,JOB_DOWN,12,,,,○,2026-06-18T23:36:18.438Z,2026-07-09T04:00:08.350Z,2026-07-09
株式会社enrich technology,,38.3,0,JOB_DOWN,1,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-09T04:00:08.350Z,2026-07-09
株式会社Meta Sales,,38.0,0,GONE,2,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-09T04:00:08.350Z,2026-07-09
Ｓｋｙ株式会社,,34.8,0,JOB_DOWN,12,,,,○,2026-06-18T23:36:18.438Z,2026-07-09T04:00:08.350Z,2026-07-09
ピアス株式会社,,32.3,0,JOB_DOWN,1,,,,○,2026-07-03T22:00:08.268Z,2026-07-09T04:00:08.350Z,2026-07-09
株式会社Creer,,32.3,0,GONE,1,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-09T04:00:08.350Z,2026-07-09
株式会社ネオキャリア,,32.0,0,JOB_UP|NEW_QUERY,5,,○,,○,2026-06-18T13:23:20.303Z,2026-07-09T04:00:08.350Z,2026-07-09
株式会社i-plug,,29.3,0,JOB_UP,6,,○,,○,2026-06-18T13:23:20.303Z,2026-07-09T04:00:08.350Z,2026-07-09
株式会社インターテクノ,,26.7,0,JOB_DOWN,2,,,,○,2026-07-03T22:00:08.268Z,2026-07-09T04:00:08.350Z,2026-07-09
株式会社三菱UFJ銀行,,26.4,0,JOB_DOWN,12,,,,○,2026-06-18T23:36:18.438Z,2026-07-09T04:00:08.350Z,2026-07-09
株式会社GSI,,25.5,0,JOB_UP|NEW_QUERY,2,,○,,○,2026-07-03T22:00:08.268Z,2026-07-09T04:00:08.350Z,2026-07-09
株式会社スタッフサービス ITソリューション,,25.3,0,JOB_UP|NEW_QUERY,2,,○,,○,2026-06-21T05:19:13.003Z,2026-07-09T04:00:08.350Z,2026-07-09
株式会社ティーエム・テックス,,25.3,0,REAPPEARED,1,,,○,○,2026-07-04T04:00:03.351Z,2026-07-09T04:00:08.350Z,2026-07-09
フェンリル株式会社,,24.6,0,REAPPEARED,2,,,○,○,2026-07-03T22:00:08.268Z,2026-07-09T04:00:08.350Z,2026-07-09
株式会社インテリム,,24.3,0,GONE,1,,,,○,2026-07-04T16:00:02.382Z,2026-07-09T04:00:08.350Z,2026-07-09
