企業名,法人番号,熱量,鮮度h,直近イベント,求人件数,卒年,出稿増,採用ページ更新,インテント,初検知,最終更新,取得日
ベンタス株式会社,,79.6,0,JOB_UP|NEW_QUERY,2,2027,○,,○,2026-06-18T13:23:40.266Z,2026-07-12T22:00:03.341Z,2026-07-12
株式会社GUM,,74.9,0,JOB_UP|NEW_QUERY,2,2027,○,,○,2026-06-21T05:19:13.003Z,2026-07-12T22:00:03.341Z,2026-07-12
株式会社LOP,,70.4,0,NEW_QUERY,2,2027,,,○,2026-07-06T04:00:03.149Z,2026-07-12T22:00:03.341Z,2026-07-12
ピアス株式会社,,67.6,0,JOB_UP|NEW_QUERY|NEW_QUERY,4,,○,,○,2026-07-03T22:00:08.268Z,2026-07-12T22:00:03.341Z,2026-07-12
パーソルエクセルHRパートナーズ株式会社,,64.4,0,JOB_UP|NEW_QUERY,3,,○,,○,2026-06-21T05:19:13.003Z,2026-07-12T22:00:03.341Z,2026-07-12
ヒューマンリソシア株式会社,,64.0,0,JOB_DOWN,2,,,,○,2026-06-18T13:23:40.266Z,2026-07-12T22:00:03.341Z,2026-07-12
株式会社キソシン,,62.1,0,JOB_UP|NEW_QUERY,2,2027,○,,○,2026-06-21T05:19:13.003Z,2026-07-12T22:00:03.341Z,2026-07-12
パーソルテンプスタッフ株式会社,,61.3,0,JOB_DOWN|NEW_QUERY,4,,,,○,2026-06-18T13:23:40.266Z,2026-07-12T22:00:03.341Z,2026-07-12
株式会社Meta Sales,,60.3,0,JOB_UP|NEW_QUERY,2,2027,○,,○,2026-07-03T22:00:08.268Z,2026-07-12T22:00:03.341Z,2026-07-12
株式会社リクルートスタッフィング,,59.0,0,JOB_DOWN,2,,,,○,2026-06-18T13:23:20.303Z,2026-07-12T22:00:03.341Z,2026-07-12
ギブクリエーション株式会社,,56.9,0,GONE,2,2026,,,○,2026-07-03T22:00:08.268Z,2026-07-12T22:00:03.341Z,2026-07-12
本田技研工業株式会社,,55.3,0,JOB_UP|NEW_GRAD_YEAR|NEW_QUERY,13,2027,○,○,○,2026-06-18T23:36:18.438Z,2026-07-12T22:00:03.341Z,2026-07-12
株式会社ELM,,54.9,0,NEW_GRAD_YEAR|NEW_QUERY,1,2027,,○,○,2026-07-03T22:00:08.268Z,2026-07-12T22:00:03.341Z,2026-07-12
株式会社Creer,,50.3,0,JOB_UP|NEW_QUERY,2,2027,○,,○,2026-07-03T22:00:08.268Z,2026-07-12T22:00:03.341Z,2026-07-12
株式会社スタッフサービス,,49.4,0,JOB_DOWN|NEW_QUERY,2,,,,○,2026-06-18T13:23:40.266Z,2026-07-12T22:00:03.341Z,2026-07-12
株式会社enrich technology,,47.4,0,JOB_UP|NEW_GRAD_YEAR|NEW_QUERY,2,2027,○,○,○,2026-07-03T22:00:08.268Z,2026-07-12T22:00:03.341Z,2026-07-12
株式会社ネオキャリア,,44.7,0,JOB_UP|NEW_QUERY|NEW_QUERY,5,,○,,○,2026-06-18T13:23:20.303Z,2026-07-12T22:00:03.341Z,2026-07-12
株式会社大斗,,44.3,0,JOB_DOWN|NEW_GRAD_YEAR,1,2027,,○,○,2026-07-03T22:00:08.268Z,2026-07-12T22:00:03.341Z,2026-07-12
JAGフィールド株式会社,,40.5,0,GONE,1,,,,○,2026-07-04T10:00:09.195Z,2026-07-12T22:00:03.341Z,2026-07-12
マンパワーグループ株式会社,,40.5,0,GONE,1,,,,○,2026-06-18T13:23:40.266Z,2026-07-12T22:00:03.341Z,2026-07-12
パーソルキャリア株式会社,,38.2,0,JOB_UP|NEW_GRAD_YEAR|NEW_QUERY,2,2027,○,○,○,2026-06-22T15:59:35.081Z,2026-07-12T22:00:03.341Z,2026-07-12
株式会社リクルートR&Dスタッフィング,,38.0,0,GONE,1,,,,○,2026-07-04T10:00:09.195Z,2026-07-12T22:00:03.341Z,2026-07-12
株式会社alBee,,37.2,0,NEW_QUERY,1,,,,○,2026-06-21T05:19:13.003Z,2026-07-12T22:00:03.341Z,2026-07-12
株式会社マイナビワークス,,36.8,0,JOB_DOWN,3,,,,○,2026-07-05T22:00:07.598Z,2026-07-12T22:00:03.341Z,2026-07-12
株式会社プロジェクトトリガー,,36.1,0,GONE,1,,,,○,2026-06-21T05:19:13.003Z,2026-07-12T22:00:03.341Z,2026-07-12
株式会社I・PARTNERS,,34.9,0,GONE,1,,,,○,2026-07-04T04:00:03.351Z,2026-07-12T22:00:03.341Z,2026-07-12
株式会社Le Lien,,34.7,0,JOB_DOWN,1,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-12T22:00:03.341Z,2026-07-12
アデコ株式会社,,34.6,0,JOB_DOWN,2,,,,○,2026-06-21T05:19:13.003Z,2026-07-12T22:00:03.341Z,2026-07-12
株式会社ELシステム,,32.5,0,GONE,1,,,,○,2026-07-03T22:00:08.268Z,2026-07-12T22:00:03.341Z,2026-07-12
株式会社i-plug,,32.3,0,NEW_QUERY,4,,,,○,2026-06-18T13:23:20.303Z,2026-07-12T22:00:03.341Z,2026-07-12
