企業名,法人番号,熱量,鮮度h,直近イベント,求人件数,卒年,出稿増,採用ページ更新,インテント,初検知,最終更新,取得日
株式会社LOP,,79.5,0,JOB_UP|NEW_QUERY,2,,○,,○,2026-07-06T04:00:03.149Z,2026-07-09T22:00:06.468Z,2026-07-09
株式会社ELM,,75.4,0,JOB_UP|NEW_QUERY,3,2027,○,,○,2026-07-03T22:00:08.268Z,2026-07-09T22:00:06.468Z,2026-07-09
本田技研工業株式会社,,71.3,0,JOB_UP|NEW_GRAD_YEAR|NEW_QUERY,13,2027,○,○,○,2026-06-18T23:36:18.438Z,2026-07-09T22:00:06.468Z,2026-07-09
株式会社GUM,,70.1,0,JOB_UP|NEW_QUERY|NEW_QUERY,3,2027,○,,○,2026-06-21T05:19:13.003Z,2026-07-09T22:00:06.468Z,2026-07-09
株式会社リクルートスタッフィング,,65.3,0,JOB_DOWN,1,,,,○,2026-06-18T13:23:20.303Z,2026-07-09T22:00:06.468Z,2026-07-09
株式会社キソシン,,57.7,0,JOB_DOWN,1,2027,,,○,2026-06-21T05:19:13.003Z,2026-07-09T22:00:06.468Z,2026-07-09
株式会社alBee,,57.5,0,JOB_DOWN,1,,,,○,2026-06-21T05:19:13.003Z,2026-07-09T22:00:06.468Z,2026-07-09
ギブクリエーション株式会社,,53.9,0,JOB_DOWN|NEW_GRAD_YEAR,1,2026,,○,○,2026-07-03T22:00:08.268Z,2026-07-09T22:00:06.468Z,2026-07-09
マンパワーグループ株式会社,,53.6,0,GONE,3,,,,○,2026-06-18T13:23:40.266Z,2026-07-09T22:00:06.468Z,2026-07-09
株式会社プロジェクトトリガー,,52.5,0,JOB_DOWN,1,2027,,,○,2026-06-21T05:19:13.003Z,2026-07-09T22:00:06.468Z,2026-07-09
JAGフィールド株式会社,,48.3,0,GONE,3,,,,○,2026-07-04T10:00:09.195Z,2026-07-09T22:00:06.468Z,2026-07-09
株式会社大斗,,46.4,0,NEW_QUERY,2,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-09T22:00:06.468Z,2026-07-09
ピアス株式会社,,43.9,0,JOB_UP|NEW_QUERY,3,,○,,○,2026-07-03T22:00:08.268Z,2026-07-09T22:00:06.468Z,2026-07-09
ベンタス株式会社,,41.6,0,JOB_DOWN,1,,,,○,2026-06-18T13:23:40.266Z,2026-07-09T22:00:06.468Z,2026-07-09
株式会社ELシステム,,39.1,0,JOB_DOWN,1,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-09T22:00:06.468Z,2026-07-09
株式会社Le Lien,,37.4,0,JOB_UP|NEW_QUERY,2,,○,,○,2026-07-03T22:00:08.268Z,2026-07-09T22:00:06.468Z,2026-07-09
株式会社ネオキャリア,,36.2,0,JOB_UP|NEW_QUERY,5,,○,,○,2026-06-18T13:23:20.303Z,2026-07-09T22:00:06.468Z,2026-07-09
JHRconsulting株式会社,,35.1,0,JOB_DOWN,2,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-09T22:00:06.468Z,2026-07-09
株式会社ロッテ,,34.8,0,JOB_DOWN,12,,,,○,2026-06-18T23:36:18.438Z,2026-07-09T22:00:06.468Z,2026-07-09
株式会社enrich technology,,32.2,0,JOB_DOWN,1,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-09T22:00:06.468Z,2026-07-09
株式会社i-plug,,32.0,0,JOB_UP|NEW_QUERY,5,,○,,○,2026-06-18T13:23:20.303Z,2026-07-09T22:00:06.468Z,2026-07-09
株式会社Meta Sales,,31.9,0,GONE,2,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-09T22:00:06.468Z,2026-07-09
Ｓｋｙ株式会社,,29.3,0,JOB_DOWN,12,,,,○,2026-06-18T23:36:18.438Z,2026-07-09T22:00:06.468Z,2026-07-09
株式会社インターテクノ,,28.1,0,JOB_UP|NEW_QUERY,3,,○,,○,2026-07-03T22:00:08.268Z,2026-07-09T22:00:06.468Z,2026-07-09
株式会社GSI,,27.4,0,REAPPEARED,2,,,○,○,2026-07-03T22:00:08.268Z,2026-07-09T22:00:06.468Z,2026-07-09
株式会社Creer,,27.2,0,GONE,1,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-09T22:00:06.468Z,2026-07-09
株式会社インテリム,,26.4,0,GONE,1,,,,○,2026-07-04T16:00:02.382Z,2026-07-09T22:00:06.468Z,2026-07-09
フェンリル株式会社,,26.0,0,GONE,3,,,,○,2026-07-03T22:00:08.268Z,2026-07-09T22:00:06.468Z,2026-07-09
株式会社リクルートR&Dスタッフィング,,24.9,0,GONE,1,,,,○,2026-07-04T10:00:09.195Z,2026-07-09T22:00:06.468Z,2026-07-09
ぷらす整骨院 南森町院,,24.8,0,REAPPEARED,1,,,○,○,2026-07-03T22:00:08.268Z,2026-07-09T22:00:06.468Z,2026-07-09
