企業名,法人番号,熱量,鮮度h,直近イベント,求人件数,卒年,出稿増,採用ページ更新,インテント,初検知,最終更新,取得日
株式会社LOP,,99.6,0,JOB_DOWN|NEW_QUERY,2,2027,,,○,2026-07-06T04:00:03.149Z,2026-07-11T04:00:08.179Z,2026-07-11
株式会社GUM,,70.3,0,NEW_QUERY,2,2027,,,○,2026-06-21T05:19:13.003Z,2026-07-11T04:00:08.179Z,2026-07-11
ベンタス株式会社,,68.9,0,JOB_UP|NEW_QUERY,2,,○,,○,2026-06-18T13:23:40.266Z,2026-07-11T04:00:08.179Z,2026-07-11
株式会社キソシン,,60.7,0,GONE,2,2027,,,○,2026-06-21T05:19:13.003Z,2026-07-11T04:00:08.179Z,2026-07-11
株式会社リクルートスタッフィング,,58.0,0,GONE,1,,,,○,2026-06-18T13:23:20.303Z,2026-07-11T04:00:08.179Z,2026-07-11
株式会社Le Lien,,55.0,0,JOB_UP|NEW_QUERY,2,2027,○,,○,2026-07-03T22:00:08.268Z,2026-07-11T04:00:08.179Z,2026-07-11
株式会社プロジェクトトリガー,,54.2,0,NEW_QUERY,1,,,,○,2026-06-21T05:19:13.003Z,2026-07-11T04:00:08.179Z,2026-07-11
マンパワーグループ株式会社,,53.7,0,GONE,1,,,,○,2026-06-18T13:23:40.266Z,2026-07-11T04:00:08.179Z,2026-07-11
株式会社ELM,,52.8,0,JOB_DOWN,1,,,,○,2026-07-03T22:00:08.268Z,2026-07-11T04:00:08.179Z,2026-07-11
本田技研工業株式会社,,52.4,0,JOB_DOWN,12,,,,○,2026-06-18T23:36:18.438Z,2026-07-11T04:00:08.179Z,2026-07-11
株式会社alBee,,52.0,0,NEW_QUERY,1,,,,○,2026-06-21T05:19:13.003Z,2026-07-11T04:00:08.179Z,2026-07-11
株式会社Meta Sales,,47.8,0,GONE,2,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-11T04:00:08.179Z,2026-07-11
ピアス株式会社,,47.6,0,JOB_DOWN,1,,,,○,2026-07-03T22:00:08.268Z,2026-07-11T04:00:08.179Z,2026-07-11
ギブクリエーション株式会社,,46.9,0,JOB_DOWN,1,,,,○,2026-07-03T22:00:08.268Z,2026-07-11T04:00:08.179Z,2026-07-11
株式会社大斗,,45.7,0,JOB_UP|NEW_QUERY,2,,○,,○,2026-07-03T22:00:08.268Z,2026-07-11T04:00:08.179Z,2026-07-11
株式会社ELシステム,,45.0,0,NEW_QUERY,1,,,,○,2026-07-03T22:00:08.268Z,2026-07-11T04:00:08.179Z,2026-07-11
株式会社Creer,,44.9,0,GONE,2,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-11T04:00:08.179Z,2026-07-11
パーソルエクセルHRパートナーズ株式会社,,43.6,0,JOB_UP|NEW_QUERY,2,,○,,○,2026-06-21T05:19:13.003Z,2026-07-11T04:00:08.179Z,2026-07-11
株式会社I・PARTNERS,,40.9,0,REAPPEARED,2,,,○,○,2026-07-04T04:00:03.351Z,2026-07-11T04:00:08.179Z,2026-07-11
JAGフィールド株式会社,,37.6,0,GONE,2,,,,○,2026-07-04T10:00:09.195Z,2026-07-11T04:00:08.179Z,2026-07-11
パーソルテンプスタッフ株式会社,,37.3,0,NEW_QUERY,3,,,,○,2026-06-18T13:23:40.266Z,2026-07-11T04:00:08.179Z,2026-07-11
JHRconsulting株式会社,,35.6,0,GONE,3,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-11T04:00:08.179Z,2026-07-11
株式会社ネオキャリア,,35.0,0,JOB_DOWN,3,,,,○,2026-06-18T13:23:20.303Z,2026-07-11T04:00:08.179Z,2026-07-11
株式会社enrich technology,,32.7,0,JOB_DOWN,1,,,,○,2026-07-03T22:00:08.268Z,2026-07-11T04:00:08.179Z,2026-07-11
ヒューマンリソシア株式会社,,32.1,0,JOB_DOWN,1,,,,○,2026-06-18T13:23:40.266Z,2026-07-11T04:00:08.179Z,2026-07-11
株式会社スタッフサービス,,30.6,0,JOB_UP|NEW_QUERY,2,,○,,○,2026-06-18T13:23:40.266Z,2026-07-11T04:00:08.179Z,2026-07-11
株式会社インターテクノ,,30.1,0,JOB_UP|NEW_QUERY,3,,○,,○,2026-07-03T22:00:08.268Z,2026-07-11T04:00:08.179Z,2026-07-11
株式会社ティーエム・テックス,,29.7,0,REAPPEARED,1,,,○,○,2026-07-04T04:00:03.351Z,2026-07-11T04:00:08.179Z,2026-07-11
株式会社三松,,27.9,0,GONE,2,2027,,,○,2026-07-10T04:00:09.031Z,2026-07-11T04:00:08.179Z,2026-07-11
ダイヤプラスフィルム株式会社,,26.8,0,REAPPEARED,1,,,○,○,2026-07-08T22:00:06.658Z,2026-07-11T04:00:08.179Z,2026-07-11
