企業名,法人番号,熱量,鮮度h,直近イベント,求人件数,卒年,出稿増,採用ページ更新,インテント,初検知,最終更新,取得日
本田技研工業株式会社,,55.9,0,JOB_DOWN,12,,,,○,2026-06-18T23:36:18.438Z,2026-07-05T22:00:07.598Z,2026-07-05
株式会社ロッテ,,46.5,0,JOB_UP|NEW_GRAD_YEAR|NEW_QUERY,13,2027,○,○,○,2026-06-18T23:36:18.438Z,2026-07-05T22:00:07.598Z,2026-07-05
Ｓｋｙ株式会社,,46.5,0,JOB_UP|NEW_GRAD_YEAR|NEW_QUERY,13,2027,○,○,○,2026-06-18T23:36:18.438Z,2026-07-05T22:00:07.598Z,2026-07-05
マンパワーグループ株式会社,,41.9,0,JOB_DOWN,1,,,,○,2026-06-18T13:23:40.266Z,2026-07-05T22:00:07.598Z,2026-07-05
株式会社Creer,,41.5,0,REAPPEARED,2,2027,,○,○,2026-07-03T22:00:08.268Z,2026-07-05T22:00:07.598Z,2026-07-05
株式会社SNK,,33.5,0,REAPPEARED,2,,,○,○,2026-07-03T22:00:08.268Z,2026-07-05T22:00:07.598Z,2026-07-05
株式会社Meta Sales,,33.3,0,REAPPEARED,2,2027,,○,○,2026-07-03T22:00:08.268Z,2026-07-05T22:00:07.598Z,2026-07-05
JAGフィールド株式会社,,33.1,0,JOB_DOWN,1,,,,○,2026-07-04T10:00:09.195Z,2026-07-05T22:00:07.598Z,2026-07-05
JHRconsulting株式会社,,31.4,0,NEW_QUERY,2,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-05T22:00:07.598Z,2026-07-05
ギブクリエーション株式会社,,31.2,0,JOB_UP|NEW_QUERY,2,,○,,○,2026-07-03T22:00:08.268Z,2026-07-05T22:00:07.598Z,2026-07-05
株式会社alBee,,29.6,0,JOB_UP|NEW_QUERY,2,2027,○,,○,2026-06-21T05:19:13.003Z,2026-07-05T22:00:07.598Z,2026-07-05
株式会社エル・コーエイ,,28.6,0,REAPPEARED,1,,,○,○,2026-07-04T04:00:03.351Z,2026-07-05T22:00:07.598Z,2026-07-05
新日本ビルメンテナンス株式会社,,26.5,0,GONE,2,,,,○,2026-07-04T10:00:09.195Z,2026-07-05T22:00:07.598Z,2026-07-05
株式会社ELM,,26.4,0,REAPPEARED,1,2027,,○,○,2026-07-03T22:00:08.268Z,2026-07-05T22:00:07.598Z,2026-07-05
株式会社バンダイ,,26.2,0,JOB_UP|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY,12,,○,,○,2026-06-18T23:36:18.438Z,2026-07-05T22:00:07.598Z,2026-07-05
森永製菓株式会社,,26.2,0,JOB_UP|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY,12,,○,,○,2026-06-18T23:36:18.438Z,2026-07-05T22:00:07.598Z,2026-07-05
日本航空株式会社,,26.2,0,JOB_UP|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY,12,,○,,○,2026-06-18T23:36:18.438Z,2026-07-05T22:00:07.598Z,2026-07-05
アサヒグループジャパン株式会社,,26.2,0,JOB_UP|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY,12,,○,,○,2026-06-18T23:36:18.438Z,2026-07-05T22:00:07.598Z,2026-07-05
株式会社KADOKAWA,,26.2,0,JOB_UP|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY,12,,○,,○,2026-06-18T23:36:18.438Z,2026-07-05T22:00:07.598Z,2026-07-05
味の素AGF株式会社,,26.2,0,JOB_UP|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY,12,,○,,○,2026-06-18T23:36:18.438Z,2026-07-05T22:00:07.598Z,2026-07-05
キリンホールディングス株式会社,,26.2,0,JOB_UP|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY,12,,○,,○,2026-06-18T23:36:18.438Z,2026-07-05T22:00:07.598Z,2026-07-05
サントリーホールディングス株式会社,,26.2,0,JOB_UP|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY,12,,○,,○,2026-06-18T23:36:18.438Z,2026-07-05T22:00:07.598Z,2026-07-05
伊藤忠商事株式会社,,26.2,0,JOB_UP|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY,12,,○,,○,2026-06-18T23:36:18.438Z,2026-07-05T22:00:07.598Z,2026-07-05
日清食品株式会社,,26.2,0,JOB_UP|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY,12,,○,,○,2026-06-18T23:36:18.438Z,2026-07-05T22:00:07.598Z,2026-07-05
全日本空輸株式会社,,26.2,0,JOB_UP|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY,12,,○,,○,2026-06-18T23:36:18.438Z,2026-07-05T22:00:07.598Z,2026-07-05
東映株式会社,,26.2,0,JOB_UP|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY,12,,○,,○,2026-06-18T23:36:18.438Z,2026-07-05T22:00:07.598Z,2026-07-05
株式会社ヤクルト本社,,26.2,0,JOB_UP|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY,12,,○,,○,2026-06-18T23:36:18.438Z,2026-07-05T22:00:07.598Z,2026-07-05
株式会社アシックス,,26.2,0,JOB_UP|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY,12,,○,,○,2026-06-18T23:36:18.438Z,2026-07-05T22:00:07.598Z,2026-07-05
株式会社NTTデータグループ,,26.2,0,JOB_UP|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY,12,,○,,○,2026-06-18T23:36:18.438Z,2026-07-05T22:00:07.598Z,2026-07-05
株式会社JTB,,26.2,0,JOB_UP|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY,12,,○,,○,2026-06-18T23:36:18.438Z,2026-07-05T22:00:07.598Z,2026-07-05
