企業名,法人番号,熱量,鮮度h,直近イベント,求人件数,卒年,出稿増,採用ページ更新,インテント,初検知,最終更新,取得日
株式会社LOP,,103.0,0,NEW_QUERY,3,2027,,,○,2026-07-06T04:00:03.149Z,2026-07-10T22:00:02.141Z,2026-07-10
株式会社GUM,,69.5,0,JOB_UP|NEW_QUERY,2,2027,○,,○,2026-06-21T05:19:13.003Z,2026-07-10T22:00:02.141Z,2026-07-10
株式会社キソシン,,64.3,0,JOB_DOWN,2,2027,,,○,2026-06-21T05:19:13.003Z,2026-07-10T22:00:02.141Z,2026-07-10
ベンタス株式会社,,63.5,0,JOB_DOWN|NEW_QUERY,1,,,,○,2026-06-18T13:23:40.266Z,2026-07-10T22:00:02.141Z,2026-07-10
株式会社リクルートスタッフィング,,61.5,0,GONE,1,,,,○,2026-06-18T13:23:20.303Z,2026-07-10T22:00:02.141Z,2026-07-10
株式会社ELM,,57.9,0,GONE,2,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-10T22:00:02.141Z,2026-07-10
マンパワーグループ株式会社,,56.9,0,GONE,1,,,,○,2026-06-18T13:23:40.266Z,2026-07-10T22:00:02.141Z,2026-07-10
本田技研工業株式会社,,55.5,0,JOB_DOWN,12,,,,○,2026-06-18T23:36:18.438Z,2026-07-10T22:00:02.141Z,2026-07-10
株式会社alBee,,55.1,0,NEW_QUERY,1,,,,○,2026-06-21T05:19:13.003Z,2026-07-10T22:00:02.141Z,2026-07-10
株式会社プロジェクトトリガー,,53.6,0,JOB_DOWN,1,2027,,,○,2026-06-21T05:19:13.003Z,2026-07-10T22:00:02.141Z,2026-07-10
ピアス株式会社,,51.5,0,JOB_UP|NEW_QUERY,3,,○,,○,2026-07-03T22:00:08.268Z,2026-07-10T22:00:02.141Z,2026-07-10
株式会社Meta Sales,,50.6,0,JOB_UP|NEW_QUERY|NEW_QUERY,2,2027,○,,○,2026-07-03T22:00:08.268Z,2026-07-10T22:00:02.141Z,2026-07-10
ギブクリエーション株式会社,,49.7,0,JOB_DOWN,1,,,,○,2026-07-03T22:00:08.268Z,2026-07-10T22:00:02.141Z,2026-07-10
株式会社Creer,,47.5,0,JOB_UP|NEW_QUERY,2,2027,○,,○,2026-07-03T22:00:08.268Z,2026-07-10T22:00:02.141Z,2026-07-10
株式会社Le Lien,,45.9,0,NEW_GRAD_YEAR,1,2027,,○,○,2026-07-03T22:00:08.268Z,2026-07-10T22:00:02.141Z,2026-07-10
株式会社ELシステム,,43.8,0,JOB_DOWN,1,,,,○,2026-07-03T22:00:08.268Z,2026-07-10T22:00:02.141Z,2026-07-10
JAGフィールド株式会社,,39.8,0,GONE,2,,,,○,2026-07-04T10:00:09.195Z,2026-07-10T22:00:02.141Z,2026-07-10
パーソルテンプスタッフ株式会社,,39.6,0,NEW_QUERY,3,,,,○,2026-06-18T13:23:40.266Z,2026-07-10T22:00:02.141Z,2026-07-10
株式会社大斗,,38.9,0,JOB_DOWN,1,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-10T22:00:02.141Z,2026-07-10
株式会社ネオキャリア,,38.4,0,JOB_UP|NEW_QUERY,4,,○,,○,2026-06-18T13:23:20.303Z,2026-07-10T22:00:02.141Z,2026-07-10
JHRconsulting株式会社,,37.7,0,GONE,3,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-10T22:00:02.141Z,2026-07-10
パーソルエクセルHRパートナーズ株式会社,,36.7,0,JOB_DOWN,1,,,,○,2026-06-21T05:19:13.003Z,2026-07-10T22:00:02.141Z,2026-07-10
株式会社enrich technology,,36.6,0,JOB_UP|NEW_QUERY,2,2027,○,,○,2026-07-03T22:00:08.268Z,2026-07-10T22:00:02.141Z,2026-07-10
ヒューマンリソシア株式会社,,35.9,0,NEW_QUERY,2,,,,○,2026-06-18T13:23:40.266Z,2026-07-10T22:00:02.141Z,2026-07-10
株式会社I・PARTNERS,,33.8,0,GONE,2,,,,○,2026-07-04T04:00:03.351Z,2026-07-10T22:00:02.141Z,2026-07-10
株式会社三松,,29.5,0,JOB_UP|NEW_QUERY,2,2027,○,,○,2026-07-10T04:00:09.031Z,2026-07-10T22:00:02.141Z,2026-07-10
株式会社リクルートR&Dスタッフィング,,27.8,0,GONE,2,,,,○,2026-07-04T10:00:09.195Z,2026-07-10T22:00:02.141Z,2026-07-10
株式会社ロッテ,,27.6,0,JOB_DOWN,12,,,,○,2026-06-18T23:36:18.438Z,2026-07-10T22:00:02.141Z,2026-07-10
株式会社GSI,,26.8,0,REAPPEARED,2,,,○,○,2026-07-03T22:00:08.268Z,2026-07-10T22:00:02.141Z,2026-07-10
株式会社インテリム,,26.6,0,GONE,1,,,,○,2026-07-04T16:00:02.382Z,2026-07-10T22:00:02.141Z,2026-07-10
