企業名,法人番号,熱量,鮮度h,直近イベント,求人件数,卒年,出稿増,採用ページ更新,インテント,初検知,最終更新,取得日
ベンタス株式会社,,83.4,0,JOB_DOWN,2,,,,○,2026-06-18T13:23:40.266Z,2026-07-13T16:00:10.301Z,2026-07-13
ヒューマンリソシア株式会社,,81.0,0,JOB_DOWN,1,,,,○,2026-06-18T13:23:40.266Z,2026-07-13T16:00:10.301Z,2026-07-13
株式会社ELM,,80.1,0,JOB_UP|NEW_QUERY|NEW_QUERY,4,2027,○,,○,2026-07-03T22:00:08.268Z,2026-07-13T16:00:10.301Z,2026-07-13
株式会社LOP,,74.0,0,JOB_DOWN,1,,,,○,2026-07-06T04:00:03.149Z,2026-07-13T16:00:10.301Z,2026-07-13
パーソルテンプスタッフ株式会社,,67.8,0,JOB_DOWN,2,,,,○,2026-06-18T13:23:40.266Z,2026-07-13T16:00:10.301Z,2026-07-13
パーソルエクセルHRパートナーズ株式会社,,62.9,0,JOB_DOWN|NEW_QUERY,1,,,,○,2026-06-21T05:19:13.003Z,2026-07-13T16:00:10.301Z,2026-07-13
株式会社リクルートスタッフィング,,61.7,0,JOB_DOWN,1,,,,○,2026-06-18T13:23:20.303Z,2026-07-13T16:00:10.301Z,2026-07-13
株式会社GUM,,60.9,0,JOB_DOWN,1,2027,,,○,2026-06-21T05:19:13.003Z,2026-07-13T16:00:10.301Z,2026-07-13
株式会社プロジェクトトリガー,,60.5,0,NEW_GRAD_YEAR|NEW_QUERY,1,2027,,○,○,2026-06-21T05:19:13.003Z,2026-07-13T16:00:10.301Z,2026-07-13
株式会社Le Lien,,58.5,0,JOB_UP|NEW_QUERY,4,2027,○,,○,2026-07-03T22:00:08.268Z,2026-07-13T16:00:10.301Z,2026-07-13
ピアス株式会社,,57.5,0,JOB_DOWN|NEW_QUERY,2,,,,○,2026-07-03T22:00:08.268Z,2026-07-13T16:00:10.301Z,2026-07-13
株式会社スタッフサービス,,56.8,0,JOB_DOWN|NEW_QUERY,1,,,,○,2026-06-18T13:23:40.266Z,2026-07-13T16:00:10.301Z,2026-07-13
株式会社大斗,,52.0,0,NEW_QUERY|NEW_QUERY,2,,,,○,2026-07-03T22:00:08.268Z,2026-07-13T16:00:10.301Z,2026-07-13
株式会社キソシン,,50.1,0,GONE,1,2027,,,○,2026-06-21T05:19:13.003Z,2026-07-13T16:00:10.301Z,2026-07-13
株式会社Creer,,48.7,0,JOB_UP|NEW_QUERY,2,,○,,○,2026-07-03T22:00:08.268Z,2026-07-13T16:00:10.301Z,2026-07-13
株式会社enrich technology,,48.4,0,JOB_UP|NEW_QUERY,3,,○,,○,2026-07-03T22:00:08.268Z,2026-07-13T16:00:10.301Z,2026-07-13
株式会社Meta Sales,,48.4,0,JOB_DOWN,1,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-13T16:00:10.301Z,2026-07-13
ギブクリエーション株式会社,,47.8,0,GONE,2,2026,,,○,2026-07-03T22:00:08.268Z,2026-07-13T16:00:10.301Z,2026-07-13
株式会社マイナビワークス,,46.0,0,JOB_DOWN|NEW_QUERY,2,,,,○,2026-07-05T22:00:07.598Z,2026-07-13T16:00:10.301Z,2026-07-13
株式会社ELシステム,,45.8,0,NEW_GRAD_YEAR|NEW_QUERY,1,2027,,○,○,2026-07-03T22:00:08.268Z,2026-07-13T16:00:10.301Z,2026-07-13
本田技研工業株式会社,,45.4,0,JOB_DOWN,12,,,,○,2026-06-18T23:36:18.438Z,2026-07-13T16:00:10.301Z,2026-07-13
アデコ株式会社,,42.2,0,JOB_DOWN,1,,,,○,2026-06-21T05:19:13.003Z,2026-07-13T16:00:10.301Z,2026-07-13
マンパワーグループ株式会社,,38.9,0,JOB_DOWN|NEW_QUERY,1,,,,○,2026-06-18T13:23:40.266Z,2026-07-13T16:00:10.301Z,2026-07-13
株式会社ネオキャリア,,37.8,0,NEW_QUERY,3,,,,○,2026-06-18T13:23:20.303Z,2026-07-13T16:00:10.301Z,2026-07-13
株式会社リクルートR&Dスタッフィング,,37.1,0,JOB_DOWN|NEW_QUERY,1,,,,○,2026-07-04T10:00:09.195Z,2026-07-13T16:00:10.301Z,2026-07-13
株式会社I・PARTNERS,,35.7,0,GONE,1,,,,○,2026-07-04T04:00:03.351Z,2026-07-13T16:00:10.301Z,2026-07-13
株式会社alBee,,34.5,0,NEW_QUERY,1,,,,○,2026-06-21T05:19:13.003Z,2026-07-13T16:00:10.301Z,2026-07-13
JAGフィールド株式会社,,34.2,0,JOB_DOWN|NEW_QUERY,2,,,,○,2026-07-04T10:00:09.195Z,2026-07-13T16:00:10.301Z,2026-07-13
株式会社i-plug,,31.7,0,JOB_DOWN|NEW_QUERY,4,,,,○,2026-06-18T13:23:20.303Z,2026-07-13T16:00:10.301Z,2026-07-13
株式会社三松,,31.5,0,REAPPEARED,1,2027,,○,○,2026-07-10T04:00:09.031Z,2026-07-13T16:00:10.301Z,2026-07-13
