企業名,法人番号,熱量,鮮度h,直近イベント,求人件数,卒年,出稿増,採用ページ更新,インテント,初検知,最終更新,取得日
株式会社LOP,,83.7,0,NEW_QUERY,2,2027,,,○,2026-07-06T04:00:03.149Z,2026-07-12T04:00:08.526Z,2026-07-12
ベンタス株式会社,,82.8,0,NEW_GRAD_YEAR|NEW_QUERY|NEW_QUERY,2,2027,,○,○,2026-06-18T13:23:40.266Z,2026-07-12T04:00:08.526Z,2026-07-12
株式会社Meta Sales,,71.7,0,JOB_UP|NEW_QUERY,2,2027,○,,○,2026-07-03T22:00:08.268Z,2026-07-12T04:00:08.526Z,2026-07-12
株式会社ELM,,65.3,0,NEW_GRAD_YEAR|NEW_QUERY,1,2027,,○,○,2026-07-03T22:00:08.268Z,2026-07-12T04:00:08.526Z,2026-07-12
株式会社GUM,,64.2,0,GONE,2,2027,,,○,2026-06-21T05:19:13.003Z,2026-07-12T04:00:08.526Z,2026-07-12
ギブクリエーション株式会社,,61.3,0,NEW_GRAD_YEAR|NEW_QUERY,1,2026,,○,○,2026-07-03T22:00:08.268Z,2026-07-12T04:00:08.526Z,2026-07-12
パーソルテンプスタッフ株式会社,,60.7,0,JOB_UP|NEW_QUERY|NEW_QUERY,4,,○,,○,2026-06-18T13:23:40.266Z,2026-07-12T04:00:08.526Z,2026-07-12
株式会社キソシン,,59.9,0,REAPPEARED,1,2027,,○,○,2026-06-21T05:19:13.003Z,2026-07-12T04:00:08.526Z,2026-07-12
ピアス株式会社,,58.0,0,JOB_DOWN,2,,,,○,2026-07-03T22:00:08.268Z,2026-07-12T04:00:08.526Z,2026-07-12
ヒューマンリソシア株式会社,,56.4,0,JOB_UP|NEW_QUERY|NEW_QUERY|NEW_QUERY,3,,○,,○,2026-06-18T13:23:40.266Z,2026-07-12T04:00:08.526Z,2026-07-12
株式会社enrich technology,,56.4,0,JOB_UP|NEW_GRAD_YEAR|NEW_QUERY,2,2027,○,○,○,2026-07-03T22:00:08.268Z,2026-07-12T04:00:08.526Z,2026-07-12
株式会社リクルートスタッフィング,,52.7,0,GONE,1,,,,○,2026-06-18T13:23:20.303Z,2026-07-12T04:00:08.526Z,2026-07-12
株式会社大斗,,52.6,0,JOB_DOWN|NEW_GRAD_YEAR,1,2027,,○,○,2026-07-03T22:00:08.268Z,2026-07-12T04:00:08.526Z,2026-07-12
マンパワーグループ株式会社,,49.3,0,REAPPEARED,2,,,○,○,2026-06-18T13:23:40.266Z,2026-07-12T04:00:08.526Z,2026-07-12
パーソルエクセルHRパートナーズ株式会社,,47.8,0,JOB_DOWN,2,,,,○,2026-06-21T05:19:13.003Z,2026-07-12T04:00:08.526Z,2026-07-12
株式会社Creer,,46.7,0,REAPPEARED,1,2027,,○,○,2026-07-03T22:00:08.268Z,2026-07-12T04:00:08.526Z,2026-07-12
株式会社alBee,,44.3,0,NEW_QUERY,1,,,,○,2026-06-21T05:19:13.003Z,2026-07-12T04:00:08.526Z,2026-07-12
株式会社プロジェクトトリガー,,43.0,0,GONE,1,,,,○,2026-06-21T05:19:13.003Z,2026-07-12T04:00:08.526Z,2026-07-12
株式会社ネオキャリア,,42.0,0,JOB_UP|NEW_QUERY,5,,○,,○,2026-06-18T13:23:20.303Z,2026-07-12T04:00:08.526Z,2026-07-12
本田技研工業株式会社,,41.6,0,JOB_DOWN,12,,,,○,2026-06-18T23:36:18.438Z,2026-07-12T04:00:08.526Z,2026-07-12
株式会社I・PARTNERS,,41.5,0,REAPPEARED,1,,,○,○,2026-07-04T04:00:03.351Z,2026-07-12T04:00:08.526Z,2026-07-12
株式会社Le Lien,,41.3,0,JOB_DOWN,1,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-12T04:00:08.526Z,2026-07-12
株式会社スタッフサービス,,40.1,0,JOB_UP|NEW_QUERY,2,,○,,○,2026-06-18T13:23:40.266Z,2026-07-12T04:00:08.526Z,2026-07-12
株式会社ELシステム,,38.7,0,NEW_QUERY,1,,,,○,2026-07-03T22:00:08.268Z,2026-07-12T04:00:08.526Z,2026-07-12
JAGフィールド株式会社,,38.1,0,GONE,1,,,,○,2026-07-04T10:00:09.195Z,2026-07-12T04:00:08.526Z,2026-07-12
Ｓｋｙ株式会社,,37.7,0,JOB_UP|NEW_GRAD_YEAR|NEW_QUERY,13,2027,○,○,○,2026-06-18T23:36:18.438Z,2026-07-12T04:00:08.526Z,2026-07-12
株式会社リクルートR&Dスタッフィング,,31.6,0,GONE,1,,,,○,2026-07-04T10:00:09.195Z,2026-07-12T04:00:08.526Z,2026-07-12
株式会社アソウ・アルファ,,31.5,0,JOB_UP|NEW_QUERY,4,,○,,○,2026-06-21T05:19:13.003Z,2026-07-12T04:00:08.526Z,2026-07-12
株式会社ティーエム・テックス,,31.1,0,REAPPEARED,1,,,○,○,2026-07-04T04:00:03.351Z,2026-07-12T04:00:08.526Z,2026-07-12
株式会社三松,,30.8,0,GONE,1,2027,,,○,2026-07-10T04:00:09.031Z,2026-07-12T04:00:08.526Z,2026-07-12
