企業名,法人番号,熱量,鮮度h,直近イベント,求人件数,卒年,出稿増,採用ページ更新,インテント,初検知,最終更新,取得日
ベンタス株式会社,,82.3,0,NEW_QUERY|NEW_QUERY,2,,,,○,2026-06-18T13:23:40.266Z,2026-07-13T04:00:02.715Z,2026-07-13
株式会社LOP,,82.2,0,JOB_UP|NEW_QUERY,4,2027,○,,○,2026-07-06T04:00:03.149Z,2026-07-13T04:00:02.715Z,2026-07-13
ヒューマンリソシア株式会社,,69.4,0,JOB_UP|NEW_QUERY,3,,○,,○,2026-06-18T13:23:40.266Z,2026-07-13T04:00:02.715Z,2026-07-13
株式会社GUM,,68.4,0,JOB_DOWN,1,2027,,,○,2026-06-21T05:19:13.003Z,2026-07-13T04:00:02.715Z,2026-07-13
株式会社ELM,,68.2,0,JOB_UP|NEW_QUERY|NEW_QUERY,2,2027,○,,○,2026-07-03T22:00:08.268Z,2026-07-13T04:00:02.715Z,2026-07-13
ピアス株式会社,,62.6,0,JOB_DOWN,3,,,,○,2026-07-03T22:00:08.268Z,2026-07-13T04:00:02.715Z,2026-07-13
パーソルテンプスタッフ株式会社,,61.5,0,NEW_QUERY,4,,,,○,2026-06-18T13:23:40.266Z,2026-07-13T04:00:02.715Z,2026-07-13
パーソルエクセルHRパートナーズ株式会社,,59.0,0,JOB_DOWN,2,,,,○,2026-06-21T05:19:13.003Z,2026-07-13T04:00:02.715Z,2026-07-13
株式会社Meta Sales,,56.9,0,JOB_UP|NEW_QUERY,2,2027,○,,○,2026-07-03T22:00:08.268Z,2026-07-13T04:00:02.715Z,2026-07-13
株式会社キソシン,,56.2,0,JOB_DOWN,1,2027,,,○,2026-06-21T05:19:13.003Z,2026-07-13T04:00:02.715Z,2026-07-13
株式会社リクルートスタッフィング,,54.5,0,JOB_DOWN,1,,,,○,2026-06-18T13:23:20.303Z,2026-07-13T04:00:02.715Z,2026-07-13
ギブクリエーション株式会社,,53.7,0,GONE,2,2026,,,○,2026-07-03T22:00:08.268Z,2026-07-13T04:00:02.715Z,2026-07-13
株式会社Le Lien,,53.3,0,JOB_UP|NEW_QUERY|NEW_QUERY,3,2027,○,,○,2026-07-03T22:00:08.268Z,2026-07-13T04:00:02.715Z,2026-07-13
本田技研工業株式会社,,51.0,0,JOB_DOWN,12,,,,○,2026-06-18T23:36:18.438Z,2026-07-13T04:00:02.715Z,2026-07-13
株式会社大斗,,50.8,0,JOB_UP|NEW_QUERY,2,,○,,○,2026-07-03T22:00:08.268Z,2026-07-13T04:00:02.715Z,2026-07-13
株式会社スタッフサービス,,45.4,0,JOB_DOWN,1,,,,○,2026-06-18T13:23:40.266Z,2026-07-13T04:00:02.715Z,2026-07-13
株式会社Creer,,45.1,0,JOB_DOWN,1,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-13T04:00:02.715Z,2026-07-13
株式会社enrich technology,,44.8,0,JOB_UP|NEW_GRAD_YEAR|NEW_QUERY,2,2027,○,○,○,2026-07-03T22:00:08.268Z,2026-07-13T04:00:02.715Z,2026-07-13
株式会社プロジェクトトリガー,,43.1,0,REAPPEARED,1,,,○,○,2026-06-21T05:19:13.003Z,2026-07-13T04:00:02.715Z,2026-07-13
株式会社I・PARTNERS,,41.9,0,REAPPEARED,2,,,○,○,2026-07-04T04:00:03.351Z,2026-07-13T04:00:02.715Z,2026-07-13
株式会社ネオキャリア,,41.0,0,JOB_DOWN,4,,,,○,2026-06-18T13:23:20.303Z,2026-07-13T04:00:02.715Z,2026-07-13
株式会社alBee,,38.7,0,NEW_QUERY,1,,,,○,2026-06-21T05:19:13.003Z,2026-07-13T04:00:02.715Z,2026-07-13
JAGフィールド株式会社,,38.2,0,GONE,1,,,,○,2026-07-04T10:00:09.195Z,2026-07-13T04:00:02.715Z,2026-07-13
マンパワーグループ株式会社,,38.2,0,GONE,1,,,,○,2026-06-18T13:23:40.266Z,2026-07-13T04:00:02.715Z,2026-07-13
株式会社リクルートR&Dスタッフィング,,35.9,0,GONE,1,,,,○,2026-07-04T10:00:09.195Z,2026-07-13T04:00:02.715Z,2026-07-13
株式会社i-plug,,34.3,0,JOB_UP,5,,○,,○,2026-06-18T13:23:20.303Z,2026-07-13T04:00:02.715Z,2026-07-13
パーソルキャリア株式会社,,34.2,0,JOB_DOWN,1,,,,○,2026-06-22T15:59:35.081Z,2026-07-13T04:00:02.715Z,2026-07-13
ダイヤプラスフィルム株式会社,,33.1,0,REAPPEARED,1,,,○,○,2026-07-08T22:00:06.658Z,2026-07-13T04:00:02.715Z,2026-07-13
株式会社マイナビワークス,,32.9,0,JOB_DOWN,2,,,,○,2026-07-05T22:00:07.598Z,2026-07-13T04:00:02.715Z,2026-07-13
アデコ株式会社,,32.7,0,JOB_DOWN,2,,,,○,2026-06-21T05:19:13.003Z,2026-07-13T04:00:02.715Z,2026-07-13
