企業名,法人番号,熱量,鮮度h,直近イベント,求人件数,卒年,出稿増,採用ページ更新,インテント,初検知,最終更新,取得日
ベンタス株式会社,,90.3,0,JOB_UP|NEW_QUERY|NEW_QUERY,3,,○,,○,2026-06-18T13:23:40.266Z,2026-07-13T10:00:09.869Z,2026-07-13
ヒューマンリソシア株式会社,,87.1,0,JOB_UP|NEW_QUERY|NEW_QUERY|NEW_QUERY,6,,○,,○,2026-06-18T13:23:40.266Z,2026-07-13T10:00:09.869Z,2026-07-13
株式会社ELM,,84.9,0,JOB_UP|NEW_QUERY|NEW_QUERY,4,2027,○,,○,2026-07-03T22:00:08.268Z,2026-07-13T10:00:09.869Z,2026-07-13
株式会社LOP,,80.0,0,JOB_DOWN|NEW_QUERY,3,2027,,,○,2026-07-06T04:00:03.149Z,2026-07-13T10:00:09.869Z,2026-07-13
パーソルテンプスタッフ株式会社,,73.8,0,JOB_UP|NEW_QUERY|NEW_QUERY,6,,○,,○,2026-06-18T13:23:40.266Z,2026-07-13T10:00:09.869Z,2026-07-13
株式会社リクルートスタッフィング,,67.2,0,JOB_UP|NEW_QUERY|NEW_QUERY,3,,○,,○,2026-06-18T13:23:20.303Z,2026-07-13T10:00:09.869Z,2026-07-13
パーソルエクセルHRパートナーズ株式会社,,64.7,0,JOB_UP|NEW_QUERY,3,,○,,○,2026-06-21T05:19:13.003Z,2026-07-13T10:00:09.869Z,2026-07-13
株式会社GUM,,64.5,0,JOB_DOWN,1,2027,,,○,2026-06-21T05:19:13.003Z,2026-07-13T10:00:09.869Z,2026-07-13
株式会社プロジェクトトリガー,,64.1,0,NEW_GRAD_YEAR|NEW_QUERY,1,2027,,○,○,2026-06-21T05:19:13.003Z,2026-07-13T10:00:09.869Z,2026-07-13
株式会社Le Lien,,62.0,0,JOB_UP|NEW_QUERY,4,2027,○,,○,2026-07-03T22:00:08.268Z,2026-07-13T10:00:09.869Z,2026-07-13
ピアス株式会社,,60.9,0,JOB_DOWN|NEW_QUERY,2,,,,○,2026-07-03T22:00:08.268Z,2026-07-13T10:00:09.869Z,2026-07-13
株式会社スタッフサービス,,58.6,0,JOB_UP|NEW_QUERY|NEW_QUERY,3,,○,,○,2026-06-18T13:23:40.266Z,2026-07-13T10:00:09.869Z,2026-07-13
株式会社大斗,,55.1,0,NEW_QUERY|NEW_QUERY,2,,,,○,2026-07-03T22:00:08.268Z,2026-07-13T10:00:09.869Z,2026-07-13
株式会社Meta Sales,,53.7,0,JOB_UP|NEW_QUERY,2,2027,○,,○,2026-07-03T22:00:08.268Z,2026-07-13T10:00:09.869Z,2026-07-13
株式会社キソシン,,53.1,0,GONE,1,2027,,,○,2026-06-21T05:19:13.003Z,2026-07-13T10:00:09.869Z,2026-07-13
株式会社Creer,,51.6,0,JOB_UP|NEW_QUERY,2,,○,,○,2026-07-03T22:00:08.268Z,2026-07-13T10:00:09.869Z,2026-07-13
株式会社enrich technology,,51.2,0,JOB_UP|NEW_QUERY,3,,○,,○,2026-07-03T22:00:08.268Z,2026-07-13T10:00:09.869Z,2026-07-13
ギブクリエーション株式会社,,50.7,0,GONE,2,2026,,,○,2026-07-03T22:00:08.268Z,2026-07-13T10:00:09.869Z,2026-07-13
株式会社ELシステム,,48.5,0,NEW_GRAD_YEAR|NEW_QUERY,1,2027,,○,○,2026-07-03T22:00:08.268Z,2026-07-13T10:00:09.869Z,2026-07-13
本田技研工業株式会社,,48.1,0,JOB_DOWN,12,,,,○,2026-06-18T23:36:18.438Z,2026-07-13T10:00:09.869Z,2026-07-13
株式会社マイナビワークス,,46.8,0,JOB_UP|NEW_QUERY|NEW_QUERY,4,,○,,○,2026-07-05T22:00:07.598Z,2026-07-13T10:00:09.869Z,2026-07-13
アデコ株式会社,,46.6,0,JOB_UP|NEW_QUERY|NEW_QUERY,4,,○,,○,2026-06-21T05:19:13.003Z,2026-07-13T10:00:09.869Z,2026-07-13
マンパワーグループ株式会社,,39.6,0,NEW_QUERY,2,,,,○,2026-06-18T13:23:40.266Z,2026-07-13T10:00:09.869Z,2026-07-13
株式会社I・PARTNERS,,37.8,0,JOB_DOWN,1,,,,○,2026-07-04T04:00:03.351Z,2026-07-13T10:00:09.869Z,2026-07-13
株式会社ネオキャリア,,37.5,0,JOB_DOWN,3,,,,○,2026-06-18T13:23:20.303Z,2026-07-13T10:00:09.869Z,2026-07-13
株式会社リクルートR&Dスタッフィング,,37.4,0,NEW_QUERY,2,,,,○,2026-07-04T10:00:09.195Z,2026-07-13T10:00:09.869Z,2026-07-13
株式会社alBee,,36.6,0,NEW_QUERY,1,,,,○,2026-06-21T05:19:13.003Z,2026-07-13T10:00:09.869Z,2026-07-13
JAGフィールド株式会社,,34.3,0,JOB_DOWN,3,,,,○,2026-07-04T10:00:09.195Z,2026-07-13T10:00:09.869Z,2026-07-13
株式会社i-plug,,33.6,0,JOB_DOWN|NEW_QUERY,4,,,,○,2026-06-18T13:23:20.303Z,2026-07-13T10:00:09.869Z,2026-07-13
パーソルキャリア株式会社,,32.3,0,JOB_DOWN,1,,,,○,2026-06-22T15:59:35.081Z,2026-07-13T10:00:09.869Z,2026-07-13
