企業名,法人番号,熱量,鮮度h,直近イベント,求人件数,卒年,出稿増,採用ページ更新,インテント,初検知,最終更新,取得日
マンパワーグループ株式会社,,67.5,0,GONE,6,,,,○,2026-06-18T13:23:40.266Z,2026-07-06T10:00:09.898Z,2026-07-06
本田技研工業株式会社,,49.8,0,JOB_DOWN,12,,,,○,2026-06-18T23:36:18.438Z,2026-07-06T10:00:09.898Z,2026-07-06
JAGフィールド株式会社,,46.8,0,NEW_QUERY,3,,,,○,2026-07-04T10:00:09.195Z,2026-07-06T10:00:09.898Z,2026-07-06
株式会社三菱UFJ銀行,,43.7,0,JOB_UP|NEW_GRAD_YEAR|NEW_QUERY,13,2027,○,○,○,2026-06-18T23:36:18.438Z,2026-07-06T10:00:09.898Z,2026-07-06
株式会社ロッテ,,40.3,0,JOB_DOWN,12,,,,○,2026-06-18T23:36:18.438Z,2026-07-06T10:00:09.898Z,2026-07-06
Ｓｋｙ株式会社,,40.3,0,JOB_DOWN,12,,,,○,2026-06-18T23:36:18.438Z,2026-07-06T10:00:09.898Z,2026-07-06
ギブクリエーション株式会社,,39.8,0,NEW_GRAD_YEAR|NEW_QUERY,2,2026,,○,○,2026-07-03T22:00:08.268Z,2026-07-06T10:00:09.898Z,2026-07-06
JHRconsulting株式会社,,39.0,0,JOB_UP|NEW_QUERY,3,2027,○,,○,2026-07-03T22:00:08.268Z,2026-07-06T10:00:09.898Z,2026-07-06
株式会社Creer,,35.5,0,JOB_DOWN,1,,,,○,2026-07-03T22:00:08.268Z,2026-07-06T10:00:09.898Z,2026-07-06
株式会社i-plug,,30.3,0,JOB_UP|NEW_QUERY,6,,○,,○,2026-06-18T13:23:20.303Z,2026-07-06T10:00:09.898Z,2026-07-06
ピアス株式会社,,30.1,0,JOB_UP|NEW_QUERY,4,,○,,○,2026-07-03T22:00:08.268Z,2026-07-06T10:00:09.898Z,2026-07-06
株式会社SNK,,29.8,0,GONE,2,,,,○,2026-07-03T22:00:08.268Z,2026-07-06T10:00:09.898Z,2026-07-06
株式会社Meta Sales,,27.8,0,JOB_DOWN,1,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-06T10:00:09.898Z,2026-07-06
株式会社プロジェクトトリガー,,27.3,0,JOB_UP|NEW_QUERY,2,2027,○,,○,2026-06-21T05:19:13.003Z,2026-07-06T10:00:09.898Z,2026-07-06
株式会社Le Lien,,25.9,0,JOB_UP|NEW_QUERY,2,2027,○,,○,2026-07-03T22:00:08.268Z,2026-07-06T10:00:09.898Z,2026-07-06
株式会社インターテクノ,,25.6,0,JOB_DOWN,2,,,,○,2026-07-03T22:00:08.268Z,2026-07-06T10:00:09.898Z,2026-07-06
ベンタス株式会社,,25.5,0,NEW_QUERY,1,,,,○,2026-06-18T13:23:40.266Z,2026-07-06T10:00:09.898Z,2026-07-06
株式会社エル・コーエイ,,25.5,0,GONE,1,,,,○,2026-07-04T04:00:03.351Z,2026-07-06T10:00:09.898Z,2026-07-06
株式会社キソシン,,25.4,0,JOB_UP|NEW_QUERY,3,2027,○,,○,2026-06-21T05:19:13.003Z,2026-07-06T10:00:09.898Z,2026-07-06
株式会社alBee,,24.6,0,JOB_DOWN,1,,,,○,2026-06-21T05:19:13.003Z,2026-07-06T10:00:09.898Z,2026-07-06
株式会社ネオキャリア,,24.5,0,JOB_UP,5,,○,,○,2026-06-18T13:23:20.303Z,2026-07-06T10:00:09.898Z,2026-07-06
新日本ビルメンテナンス株式会社,,23.6,0,GONE,2,,,,○,2026-07-04T10:00:09.195Z,2026-07-06T10:00:09.898Z,2026-07-06
株式会社ELM,,23.6,0,REAPPEARED,1,2027,,○,○,2026-07-03T22:00:08.268Z,2026-07-06T10:00:09.898Z,2026-07-06
株式会社バンダイ,,23.4,0,JOB_UP|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY,12,,○,,○,2026-06-18T23:36:18.438Z,2026-07-06T10:00:09.898Z,2026-07-06
森永製菓株式会社,,23.4,0,JOB_UP|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY,12,,○,,○,2026-06-18T23:36:18.438Z,2026-07-06T10:00:09.898Z,2026-07-06
日本航空株式会社,,23.4,0,JOB_UP|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY,12,,○,,○,2026-06-18T23:36:18.438Z,2026-07-06T10:00:09.898Z,2026-07-06
アサヒグループジャパン株式会社,,23.4,0,JOB_UP|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY,12,,○,,○,2026-06-18T23:36:18.438Z,2026-07-06T10:00:09.898Z,2026-07-06
株式会社KADOKAWA,,23.4,0,JOB_UP|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY,12,,○,,○,2026-06-18T23:36:18.438Z,2026-07-06T10:00:09.898Z,2026-07-06
味の素AGF株式会社,,23.4,0,JOB_UP|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY,12,,○,,○,2026-06-18T23:36:18.438Z,2026-07-06T10:00:09.898Z,2026-07-06
キリンホールディングス株式会社,,23.4,0,JOB_UP|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY|NEW_QUERY,12,,○,,○,2026-06-18T23:36:18.438Z,2026-07-06T10:00:09.898Z,2026-07-06
