企業名,法人番号,熱量,鮮度h,直近イベント,求人件数,卒年,出稿増,採用ページ更新,インテント,初検知,最終更新,取得日
株式会社ELM,,79.9,0,JOB_UP|NEW_QUERY,3,2027,○,,○,2026-07-03T22:00:08.268Z,2026-07-09T16:00:11.684Z,2026-07-09
株式会社LOP,,74.7,0,JOB_DOWN,1,,,,○,2026-07-06T04:00:03.149Z,2026-07-09T16:00:11.684Z,2026-07-09
株式会社リクルートスタッフィング,,70.4,0,JOB_UP|NEW_QUERY,4,,○,,○,2026-06-18T13:23:20.303Z,2026-07-09T16:00:11.684Z,2026-07-09
株式会社キソシン,,63.6,0,JOB_UP|NEW_QUERY,3,2027,○,,○,2026-06-21T05:19:13.003Z,2026-07-09T16:00:11.684Z,2026-07-09
株式会社alBee,,62.8,0,JOB_DOWN,2,,,,○,2026-06-21T05:19:13.003Z,2026-07-09T16:00:11.684Z,2026-07-09
株式会社プロジェクトトリガー,,58.1,0,JOB_UP|NEW_QUERY,2,2027,○,,○,2026-06-21T05:19:13.003Z,2026-07-09T16:00:11.684Z,2026-07-09
マンパワーグループ株式会社,,56.8,0,GONE,3,,,,○,2026-06-18T13:23:40.266Z,2026-07-09T16:00:11.684Z,2026-07-09
本田技研工業株式会社,,54.0,0,JOB_DOWN,12,,,,○,2026-06-18T23:36:18.438Z,2026-07-09T16:00:11.684Z,2026-07-09
株式会社GUM,,52.5,0,GONE,1,2027,,,○,2026-06-21T05:19:13.003Z,2026-07-09T16:00:11.684Z,2026-07-09
JAGフィールド株式会社,,51.1,0,JOB_DOWN,3,,,,○,2026-07-04T10:00:09.195Z,2026-07-09T16:00:11.684Z,2026-07-09
株式会社大斗,,49.1,0,NEW_QUERY,2,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-09T16:00:11.684Z,2026-07-09
ギブクリエーション株式会社,,48.2,0,NEW_QUERY,2,,,,○,2026-07-03T22:00:08.268Z,2026-07-09T16:00:11.684Z,2026-07-09
ベンタス株式会社,,44.0,0,JOB_DOWN,1,,,,○,2026-06-18T13:23:40.266Z,2026-07-09T16:00:11.684Z,2026-07-09
株式会社ELシステム,,43.9,0,JOB_DOWN,2,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-09T16:00:11.684Z,2026-07-09
株式会社Le Lien,,39.7,0,JOB_UP|NEW_QUERY,2,,○,,○,2026-07-03T22:00:08.268Z,2026-07-09T16:00:11.684Z,2026-07-09
株式会社ロッテ,,38.2,0,JOB_UP|NEW_GRAD_YEAR|NEW_QUERY,13,2027,○,○,○,2026-06-18T23:36:18.438Z,2026-07-09T16:00:11.684Z,2026-07-09
JHRconsulting株式会社,,37.2,0,JOB_DOWN,2,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-09T16:00:11.684Z,2026-07-09
ピアス株式会社,,37.0,0,JOB_DOWN|NEW_QUERY,2,,,,○,2026-07-03T22:00:08.268Z,2026-07-09T16:00:11.684Z,2026-07-09
株式会社enrich technology,,34.1,0,JOB_DOWN,1,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-09T16:00:11.684Z,2026-07-09
株式会社Meta Sales,,33.8,0,GONE,2,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-09T16:00:11.684Z,2026-07-09
Ｓｋｙ株式会社,,31.0,0,JOB_DOWN,12,,,,○,2026-06-18T23:36:18.438Z,2026-07-09T16:00:11.684Z,2026-07-09
株式会社インターテクノ,,29.8,0,JOB_UP|NEW_QUERY,3,,○,,○,2026-07-03T22:00:08.268Z,2026-07-09T16:00:11.684Z,2026-07-09
株式会社ネオキャリア,,29.7,0,NEW_QUERY,3,,,,○,2026-06-18T13:23:20.303Z,2026-07-09T16:00:11.684Z,2026-07-09
株式会社Creer,,28.8,0,GONE,1,2027,,,○,2026-07-03T22:00:08.268Z,2026-07-09T16:00:11.684Z,2026-07-09
株式会社インテリム,,28.0,0,REAPPEARED,1,,,○,○,2026-07-04T16:00:02.382Z,2026-07-09T16:00:11.684Z,2026-07-09
フェンリル株式会社,,27.6,0,GONE,3,,,,○,2026-07-03T22:00:08.268Z,2026-07-09T16:00:11.684Z,2026-07-09
株式会社i-plug,,27.2,0,JOB_DOWN,4,,,,○,2026-06-18T13:23:20.303Z,2026-07-09T16:00:11.684Z,2026-07-09
株式会社リクルートR&Dスタッフィング,,26.4,0,JOB_DOWN,1,,,,○,2026-07-04T10:00:09.195Z,2026-07-09T16:00:11.684Z,2026-07-09
株式会社テクノプロ コンサルティング・パートナー...,,24.8,0,GONE,3,,,,○,2026-07-03T22:00:08.268Z,2026-07-09T16:00:11.684Z,2026-07-09
ジャパン・ホテル・マネジメント株式会社,,24.8,0,REAPPEARED,2,,,○,○,2026-07-05T16:00:02.667Z,2026-07-09T16:00:11.684Z,2026-07-09
